id,title,category,mission_type,week_number,unlock_day,xp_reward,subtype,source_type,content
W2D2-AWR,Atmanirbhar Defence,Awareness,Reflect & Write,2,2,40,reflect,SSB,"{""type"":""Reflect & Write"",""prompt"":""Name one Indian defence indigenisation success from the last 3 years (under the Atmanirbhar Bharat push). What does it mean for India's long-term strategic independence?"",""min_words"":30}"
W2D2-OT,UNSC Membership,Officer Thinking,Poll + Reasoning,2,2,40,poll,SSB,"{""type"":""Poll + Reasoning"",""question"":""POLL: India should pursue permanent membership of the UN Security Council — even if it means diplomatic friction with current P5 members. Agree or disagree?"",""options"":[""Agree - India deserves a seat"",""Disagree - costs outweigh benefits"",""Agree but through gradual diplomacy"",""Disagree - UNSC is outdated anyway""],""requires_reasoning"":true}"
W2D3-CA,Defence Forces Pride & Concern,Current Affairs,Poll + Reasoning,2,3,50,scenario,SSB,"{""type"":""Poll + Reasoning"",""scenario"":""The interviewer says: 'Tell me one thing India's defence forces did in 2024-25 that made you proud — and one thing that concerned you.' Both answers required."",""question"":""How do you respond?"",""options"":[""Proud: operational success / Concerned: veteran welfare"",""Proud: modernization / Concerned: recruitment challenges"",""Proud: disaster relief / Concerned: equipment delays"",""Proud: border management / Concerned: work-life balance""],""requires_reasoning"":true}"
W2D3-GEO,The Quad,Geopolitics,Reflect & Write,2,3,30,rapid_fire,SSB,"{""type"":""Reflect & Write"",""prompt"":""RAPID FIRE — 25 seconds: What is the Quad and name one concrete outcome it has produced in the Indo-Pacific?"",""time_limit"":25,""is_timed"":true}"
W2D3-COM,Explain to Family,Communication,Daily Challenge,2,3,60,challenge,Daily life,"{""type"":""Daily Challenge"",""task"":""REAL WORLD TASK: Explain Operation Sindoor or the Quad to a family member who has no defence background — in under 2 minutes, using only plain language and one analogy."",""completion_criteria"":""Note their reaction and whether they understood.""}"
W2D3-CONF,SSB Result Not Recommended,Confidence,Poll + Reasoning,2,3,70,dilemma,Daily life,"{""type"":""Poll + Reasoning"",""scenario"":""DILEMMA: You scored very well in written SSB but performed averagely in your GTO. Your result is 'Not Recommended.' You genuinely feel the assessors got it wrong."",""question"":""What is your response?"",""options"":[""Accept it and prepare for next attempt"",""Request feedback to understand gap"",""Challenge the assessment formally"",""Reflect on where perception diverged""],""requires_reasoning"":true}"
W2D3-LEAD,College Event Crisis,Leadership,Poll + Reasoning,2,3,50,scenario,Daily life,"{""type"":""Poll + Reasoning"",""scenario"":""You are put in charge of organising your college's annual event. Two days before, your core team has a falling out and two key people quit."",""question"":""What do you do in the first hour?"",""options"":[""Rally remaining team with clear plan"",""Find immediate replacements"",""Simplify event scope to essentials"",""Talk to both people who quit""],""requires_reasoning"":true}"
W2D4-OT,Village Burning Order,Officer Thinking,Poll + Reasoning,2,4,90,dilemma,SSB,"{""type"":""Poll + Reasoning"",""scenario"":""ETHICS: You are a junior officer. During a counter-insurgency operation, your senior orders you to burn down a village suspected of sheltering militants — there is no confirmed evidence."",""question"":""What do you do?"",""options"":[""Refuse the order - illegal and unethical"",""Execute order - chain of command"",""Question the order and request evidence"",""Execute but report through proper channels later""],""requires_reasoning"":true}"
W2D4-GEO,Recognise Taliban,Geopolitics,Poll + Reasoning,2,4,40,poll,SSB,"{""type"":""Poll + Reasoning"",""question"":""POLL: India should formally recognise the Taliban government in Afghanistan to protect its strategic interests there. Agree or disagree?"",""options"":[""Agree - pragmatism over principles"",""Disagree - legitimizes terrorism"",""Agree - regional stability matters"",""Disagree - women's rights matter""],""requires_reasoning"":true}"
W2D4-AWR,Space Achievement,Awareness,Reflect & Write,2,4,30,rapid_fire,SSB,"{""type"":""Reflect & Write"",""prompt"":""RAPID FIRE — 20 seconds: Name one Indian space or science achievement from 2023-25 and its defence or strategic significance."",""time_limit"":20,""is_timed"":true}"
W2D4-COM,SSB Self Introduction,Communication,Reflect & Write,2,4,40,reflect,Daily life,"{""type"":""Reflect & Write"",""prompt"":""Write your SSB self-introduction in exactly 5 sentences. Rule: each sentence must reveal something specific — no adjective without evidence, no claim without proof."",""min_words"":30}"
W2D4-CONF,Record Weakness Answer,Confidence,Daily Challenge,2,4,60,challenge,SSB,"{""type"":""Daily Challenge"",""task"":""REAL WORLD TASK: Record yourself (voice or video) answering this PI question: 'What is your biggest weakness and what are you doing about it?' Play it back."",""completion_criteria"":""Identify one thing to improve before your next attempt.""}"
W2D5-GEO,Belt and Road GD,Geopolitics,Poll + Reasoning,2,5,60,scenario,SSB,"{""type"":""Poll + Reasoning"",""scenario"":""GD topic: 'China's Belt and Road Initiative is a debt trap for South Asian nations — and India is right to stay out.' You have a position."",""question"":""Argue it in front of the group."",""options"":[""Agree - BRI is predatory lending"",""Disagree - India missing opportunity"",""Agree - sovereignty matters most"",""Disagree - engagement better than isolation""],""requires_reasoning"":true}"
W2D5-CA,INS Vikrant,Current Affairs,Reflect & Write,2,5,30,rapid_fire,SSB,"{""type"":""Reflect & Write"",""prompt"":""RAPID FIRE — 25 seconds: What is the significance of INS Vikrant and name one capability it gives India that it did not have before?"",""time_limit"":25,""is_timed"":true}"
W2D5-LEAD,Amplify Ignored Voice,Leadership,Daily Challenge,2,5,60,challenge,Daily life,"{""type"":""Daily Challenge"",""task"":""REAL WORLD TASK: Today, when you are in a group (class, family, friends), notice who is being ignored or talked over. Make one deliberate effort to bring their voice into the conversation."",""completion_criteria"":""Note what happened.""}"
W2D5-OT,Mountain Warfare Doctrine,Officer Thinking,Reflect & Write,2,5,40,reflect,SSB,"{""type"":""Reflect & Write"",""prompt"":""In 3 sentences: what is India's military doctrine for mountain warfare and why does it matter given the current LAC situation?"",""min_words"":30}"
W2D5-AWR,Mandatory Physical Training,Awareness,Poll + Reasoning,2,5,40,poll,SSB,"{""type"":""Poll + Reasoning"",""question"":""POLL: India should reinstate mandatory physical training in all central universities to build a defence-ready youth. Agree or disagree?"",""options"":[""Agree - national preparedness"",""Disagree - individual choice matters"",""Agree - builds discipline"",""Disagree - resources better spent elsewhere""],""requires_reasoning"":true,""reasoning_prompt"":""2-sentence argument.""}"
W2D6-GEO,South China Sea Coalition,Geopolitics,Poll + Reasoning,2,6,80,dilemma,SSB,"{""type"":""Poll + Reasoning"",""scenario"":""DILEMMA: India is asked to choose between joining a US-led naval coalition against China in the South China Sea or staying neutral. There are strong economic and strategic arguments on both sides."",""question"":""What does India do?"",""options"":[""Join - counter China's rise"",""Stay neutral - protect trade"",""Join conditionally - with caveats"",""Stay neutral - maintain autonomy""],""requires_reasoning"":true}"
W2D6-CA,Social Media Defence Awareness,Current Affairs,Poll + Reasoning,2,6,50,scenario,SSB,"{""type"":""Poll + Reasoning"",""scenario"":""GD topic: 'Social media has made Indian youth more aware of defence issues — but also more prone to misinformation.'"",""question"":""How do you argue this in a GD?"",""options"":[""Agree - access without verification"",""Disagree - net positive for awareness"",""Agree - echo chambers dominate"",""Disagree - youth can discern truth""],""requires_reasoning"":true}"
W2D6-COM,Russia-Ukraine Impact,Communication,Reflect & Write,2,6,30,rapid_fire,SSB,"{""type"":""Reflect & Write"",""prompt"":""RAPID FIRE — 20 seconds: Give a crisp 2-sentence summary of the Russia-Ukraine conflict's impact on India's defence procurement strategy."",""time_limit"":20,""is_timed"":true}"
W2D6-CONF,Kashmir Human Rights Claim,Confidence,Poll + Reasoning,2,6,50,scenario,Daily life,"{""type"":""Poll + Reasoning"",""scenario"":""You are at a social gathering and someone loudly claims 'The Indian Army's human rights record in Kashmir is terrible.' You disagree. You are the only one who seems bothered."",""question"":""Do you respond — and how?"",""options"":[""Respond with counter-facts"",""Ask them for specific sources"",""Stay silent - wrong setting"",""Respond but seek private conversation""],""requires_reasoning"":true}"
W2D6-OT,Geopolitical Event Analysis,Officer Thinking,Daily Challenge,2,6,60,challenge,SSB,"{""type"":""Daily Challenge"",""task"":""REAL WORLD TASK: Pick any one recent India-related geopolitical event from this week's news. Write a 5-sentence analysis: what happened, who the actors are, what India's interest is, what India likely did/should do, and why it matters long-term."",""completion_criteria"":""Complete the 5-sentence analysis.""}"
W2D7-GEO,Geopolitical Concept Review,Geopolitics,Reflect & Write,2,7,50,reflect,SSB,"{""type"":""Reflect & Write"",""prompt"":""Week review: Name one geopolitical concept you encountered this week that you didn't fully understand before (strategic autonomy, NFU, BRI, Quad, etc.). Write 3 sentences: what it is, why it matters to India, and one open question you still have about it."",""min_words"":30}"
W2D7-CA,Biggest Security Threat,Current Affairs,Poll + Reasoning,2,7,40,poll,SSB,"{""type"":""Poll + Reasoning"",""question"":""POLL: India's biggest national security threat in the next 10 years is: (A) China's military expansion, (B) Pakistan-sponsored terrorism, (C) Internal insurgency, or (D) Cyber warfare."",""options"":[""China - military and economic challenge"",""Pakistan - persistent proxy war"",""Internal insurgency - fragmentation risk"",""Cyber warfare - invisible battlefield""],""requires_reasoning"":true,""reasoning_prompt"":""Pick one and defend it in 3 sentences.""}"
W2D7-LEAD,Final SSB Day Exhaustion,Leadership,Poll + Reasoning,2,7,50,scenario,SSB,"{""type"":""Poll + Reasoning"",""scenario"":""You are in the final day of SSB. You are exhausted. The last task is a group conference where candidates introduce themselves and assessors observe. You have nothing left."",""question"":""What do you do?"",""options"":[""Push through with energy - fake it"",""Be authentic about exhaustion"",""Focus on others - deflect attention"",""Use humor to deflect fatigue""],""requires_reasoning"":true}"
W2D7-COM,Lecturette Practice,Communication,Daily Challenge,2,7,60,challenge,SSB,"{""type"":""Daily Challenge"",""task"":""REAL WORLD TASK: Write a 90-second lecturette on any topic from this week — geopolitics, current affairs, or defence — and deliver it out loud to yourself or someone else. Time it. Record it if you can."",""completion_criteria"":""Review: did you use a hook, body, and close?""}"
W2D7-OT,Belief Changed This Week,Officer Thinking,Reflect & Write,2,7,50,reflect,SSB,"{""type"":""Reflect & Write"",""prompt"":""Final reflection: What is one belief about India, the military, or leadership that this week's missions challenged or changed? Write 3 sentences — what you believed before, what changed it, and what you believe now."",""min_words"":30}"
