id,category,subcategory,difficulty,question_type,question,option_a,option_b,option_c,option_d,correct_answer,explanation,fun_fact,xp_reward,time_limit,tags,exam_relevance,source,source_file,content_id,session,module,answer_type,word_limit,time_limit_seconds,xp,active,olq,notes,status
DEF-0024,Wars & Conflicts,Wars - General,Medium,MCQ,"The Radcliffe Line, drawn during Partition, later became the basis for the international border between India and which country primarily?",Pakistan and Bangladesh,Nepal,China,Myanmar,A,"Sir Cyril Radcliffe drew the boundary lines that separated India from the two wings of Pakistan (West and East, the latter now Bangladesh).",Radcliffe reportedly had only about five weeks to draw the entire boundary before Partition.,15,45,"{""Wars & Conflicts"",""Wars - General""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0025,Wars & Conflicts,Wars - General,Hard,MCQ,"The Shimla Agreement, signed after the 1971 war, was signed between which two leaders?",Indira Gandhi and Yahya Khan,Indira Gandhi and Zulfikar Ali Bhutto,Lal Bahadur Shastri and Ayub Khan,Morarji Desai and Zia-ul-Haq,B,The 1972 Shimla Agreement between Indira Gandhi and Zulfikar Ali Bhutto formalised the Line of Control and committed both nations to resolve disputes bilaterally.,"The agreement also led to the return of over 90,000 Pakistani prisoners of war captured during the conflict.",20,45,"{""Wars & Conflicts"",""Wars - General""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0026,Wars & Conflicts,1962 War,Hard,MCQ,Which Indian Army formation bore the brunt of the Chinese offensive in the NEFA sector during the 1962 war?,I Corps,XV Corps,IV Corps,II Corps,C,"IV Corps, under Lt Gen B.M. Kaul, was responsible for the NEFA sector where much of the fighting occurred.",The 1962 war led to major reforms in India's higher defence organisation and army structure in the years that followed.,20,45,"{""Wars & Conflicts"",""1962 War""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0027,Wars & Conflicts,1965 War,Hard,MCQ,"Which sector saw the Indian Army capture the Haji Pir Pass during the 1965 war, later returned under the Tashkent Agreement?",Rajasthan sector,Chhamb sector,Sialkot sector,Uri-Poonch sector,D,"The Haji Pir Pass, captured to block infiltration routes, was returned to Pakistan as part of the post-war Tashkent settlement.",Its capture and subsequent return remains a point of debate in discussions of the war's strategic outcomes.,20,45,"{""Wars & Conflicts"",""1965 War""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0028,Wars & Conflicts,Kargil War,Medium,MCQ,Which type of terrain made the Kargil conflict particularly challenging for Indian troops attacking uphill?,"Steep, rocky mountain slopes at high altitude",Dense tropical jungle,Flat desert terrain,Marshy riverine terrain,A,"Indian troops had to assault well-entrenched enemy positions on steep ridgelines, often climbing near-vertical rock faces under fire.",Many attacks were carried out at night to reduce exposure to enemy observation and fire from the heights.,15,45,"{""Wars & Conflicts"",""Kargil War""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0029,Wars & Conflicts,Kargil War,Medium,MCQ,"Grenadier Yogendra Singh Yadav, one of the youngest Param Vir Chakra recipients, earned the honour during which Kargil battle?",Capture of Point 5140,Capture of Tiger Hill,Battle of Rezang La,Battle of Longewala,B,"He scaled a cliff under fire to neutralise enemy bunkers, enabling his company to capture Tiger Hill.","At just 19 years old, he became one of the youngest recipients of India's highest gallantry award.",15,45,"{""Wars & Conflicts"",""Kargil War""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0030,Wars & Conflicts,1971 War,Medium,MCQ,The Instrument of Surrender in 1971 was signed at which location?,Islamabad,Karachi,Dhaka's Ramna Race Course,Chittagong,C,The surrender ceremony took place at Ramna Race Course (now Suhrawardy Udyan) in Dhaka on 16 December 1971.,16 December is now celebrated in India as Vijay Diwas to commemorate the victory.,15,45,"{""Wars & Conflicts"",""1971 War""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0031,Wars & Conflicts,Wars - General,Easy,MCQ,"Vijay Diwas', commemorated every year on 16 December, marks India's victory in which war?",1962 War,1965 War,Kargil War,1971 War,D,Vijay Diwas marks the surrender of Pakistani forces and the liberation of Bangladesh in 1971.,A separate 'Kargil Vijay Diwas' is observed on 26 July to mark victory in the 1999 Kargil War.,10,45,"{""Wars & Conflicts"",""Wars - General""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0032,Wars & Conflicts,Wars - General,Easy,MCQ,Kargil Vijay Diwas' is observed on which date?,26 July,16 December,3 December,6 September,A,26 July marks the day Indian forces declared complete victory in the 1999 Kargil War.,This date is now marked with ceremonies at the Kargil War Memorial in Dras.,10,45,"{""Wars & Conflicts"",""Wars - General""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0033,Wars & Conflicts,1971 War,Medium,MCQ,Which Indian aircraft carrier played a key role in the naval blockade of East Pakistan during the 1971 war?,INS Viraat,INS Vikrant,INS Vikramaditya,INS Delhi,B,"INS Vikrant's aircraft launched strikes on East Pakistani ports and airfields, helping enforce a naval blockade.","INS Vikrant was India's first aircraft carrier, commissioned in 1961 from a former Royal Navy vessel.",15,45,"{""Wars & Conflicts"",""1971 War""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0034,Wars & Conflicts,1965 War,Medium,MCQ,"During the 1965 war, which Pakistani offensive aimed to cut off Jammu from the rest of India by capturing Akhnoor?",Operation Searchlight,Operation Gibraltar,Operation Grand Slam,Operation Fair Play,C,Operation Grand Slam nearly succeeded before a change in Pakistani command and stiff Indian resistance halted the advance.,The failure of this operation is often cited as a key turning point that shifted momentum in India's favour.,15,45,"{""Wars & Conflicts"",""1965 War""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0035,Wars & Conflicts,Wars - General,Medium,MCQ,Which international body deployed the UN Military Observer Group (UNMOGIP) to monitor the India-Pakistan ceasefire line?,International Red Cross,Commonwealth of Nations,SAARC,United Nations,D,UNMOGIP was established in 1949 to observe and report on the ceasefire between India and Pakistan in Kashmir.,India maintains that UNMOGIP's role became largely defunct after the Simla Agreement established a fresh bilateral framework.,15,45,"{""Wars & Conflicts"",""Wars - General""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0036,Wars & Conflicts,1971 War,Hard,MCQ,"The Eastern Command during the 1971 war, which achieved the surrender at Dhaka, was headed by which General?",Lt Gen Jagjit Singh Aurora,Lt Gen Sagat Singh,Field Marshal Sam Manekshaw,Lt Gen J.F.R. Jacob,A,"Lt Gen Aurora, as GOC-in-C Eastern Command, accepted the surrender from Lt Gen Niazi.","Lt Gen J.F.R. Jacob, as Chief of Staff Eastern Command, played a key role in drafting the surrender terms.",20,45,"{""Wars & Conflicts"",""1971 War""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0037,Wars & Conflicts,Kargil War,Hard,MCQ,"Which Indian Air Force aircraft was lost to a shoulder-fired missile early in the Kargil conflict, prompting a change in tactics?",Mirage 2000,MiG-27,Su-30MKI,Jaguar,B,"A MiG-27 was shot down by a man-portable air-defence missile, after which IAF strikes shifted to higher, safer altitudes.",The IAF later used precision-guided munitions from Mirage 2000s to strike heavily fortified enemy positions at Tiger Hill.,20,45,"{""Wars & Conflicts"",""Kargil War""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0038,Wars & Conflicts,Wars - General,Medium,MCQ,"Which war is credited with exposing weaknesses that eventually led to the creation of the post of Chief of Defence Staff in India, decades later?",1971 War,1965 War,Kargil War,1947-48 War,C,"The Kargil Review Committee's recommendations, along with later Group of Ministers reports, laid the groundwork for the CDS post created in 2019.",General Bipin Rawat became independent India's first Chief of Defence Staff in December 2019.,15,45,"{""Wars & Conflicts"",""Wars - General""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0039,Wars & Conflicts,1971 War,Medium,MCQ,Which Indian Air Force operation targeted Pakistani air bases at the start of the 1971 war on the western front?,Operation Trident,Operation Safed Sagar,Operation Meghdoot,"Operation Cactus Lily was a related codename, but the main campaign is generally referenced without a single unified codename",D,"The IAF's western sector campaign in 1971 involved coordinated strikes on Pakistani airfields, though it isn't tied to a single widely-used umbrella codename in the way Kargil's air effort was.","The 1971 war marked significant achievements for the IAF, including strikes that severely degraded the Pakistan Air Force's operational capacity.",15,45,"{""Wars & Conflicts"",""1971 War""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0040,Wars & Conflicts,1962 War,Medium,MCQ,"Which town in NEFA saw fierce fighting and eventual withdrawal by Indian troops, becoming symbolic of the 1962 war's hardships?",Walong,Leh,Kargil,Poonch,A,The Battle of Walong saw Indian troops putting up prolonged resistance against a numerically superior Chinese force.,"Walong is located in present-day Arunachal Pradesh, close to the disputed border with China.",15,45,"{""Wars & Conflicts"",""1962 War""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0041,Wars & Conflicts,Wars - General,Easy,MCQ,Which of these is NOT one of the major wars fought between India and Pakistan?,The 1947-48 War,The Kashmir War of 1954,The 1965 War,The 1971 War,B,"There was no major India-Pakistan war in 1954; the recognised conflicts are 1947-48, 1965, 1971, and the 1999 Kargil War.","Some border skirmishes and standoffs, like Siachen, are considered separate from these four major wars.",10,45,"{""Wars & Conflicts"",""Wars - General""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0042,Wars & Conflicts,1971 War,Hard,MCQ,Which naval action in December 1971 involved the sinking of the Pakistani submarine PNS Ghazi near Visakhapatnam?,Operation Python,Operation Trident,Operation on Vishakhapatnam harbour defences,Operation Cactus,C,"PNS Ghazi sank under circumstances still debated, either due to an internal explosion or Indian naval action, while attempting to target INS Vikrant.",The wreck of PNS Ghazi lies off the coast of Visakhapatnam and has since become a subject of naval historical study.,20,45,"{""Wars & Conflicts"",""1971 War""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0043,Wars & Conflicts,Kargil War,Medium,MCQ,The Kargil War prompted India to establish which body to oversee long-term defence reforms?,Armed Forces Tribunal,"National Security Council alone, pre-existing",Ministry of Defence Production,Group of Ministers on National Security,D,"The Group of Ministers report following the Kargil Review Committee led to sweeping reforms in intelligence, border management, and defence structures.",This period also saw the strengthening of the National Security Council and creation of new intelligence coordination mechanisms.,15,45,"{""Wars & Conflicts"",""Kargil War""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0044,Wars & Conflicts,1965 War,Medium,MCQ,Which international mediator hosted the talks that produced the Tashkent Declaration ending the 1965 war?,Soviet Union,United States,United Kingdom,France,A,Soviet Premier Alexei Kosygin hosted and mediated the talks in Tashkent between India and Pakistan.,The Tashkent talks were one of the Cold War era's notable instances of Soviet diplomatic mediation in South Asia.,15,45,"{""Wars & Conflicts"",""1965 War""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0045,Wars & Conflicts,Wars - General,Medium,MCQ,"The Rann of Kutch skirmish of 1965, a precursor to the larger war that year, was fought over which type of terrain?",Mountain passes,Marshy salt flats,Dense forest,Riverine islands,B,The Rann of Kutch is a large area of salt marshes along the India-Pakistan border in Gujarat.,Tensions from this skirmish contributed to the broader escalation that led to the full-scale 1965 war.,15,45,"{""Wars & Conflicts"",""Wars - General""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0046,Wars & Conflicts,1971 War,Medium,MCQ,Which Mukti Bahini force fought alongside Indian troops during the Bangladesh Liberation War?,A Sri Lankan volunteer brigade,A regular Pakistani Army unit,East Pakistani/Bengali resistance fighters,A Nepalese Gurkha regiment,C,"The Mukti Bahini were Bengali guerrilla and regular forces resisting Pakistani rule, closely coordinating with the Indian Army during the war.",Their local knowledge and support were instrumental in the rapid Indian advance across East Pakistan.,15,45,"{""Wars & Conflicts"",""1971 War""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0047,Wars & Conflicts,Kargil War,Medium,MCQ,Approximately how many Indian soldiers lost their lives during the Kargil War?,"Around 50,000",Around 50,"Around 5,000",Around 500,D,Official figures place Indian fatalities during the Kargil War at approximately 527 soldiers.,The Kargil War Memorial in Dras lists the names of the fallen and is a major site of remembrance.,15,45,"{""Wars & Conflicts"",""Kargil War""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0048,Wars & Conflicts,1971 War,Hard,MCQ,"Which key Pakistani position fell early in the eastern campaign, opening the route toward Dhaka for advancing Indian forces?",Jessore,Chittagong,Sylhet,Comilla,A,The fall of Jessore in early December 1971 was a major breakthrough that accelerated the Indian advance toward Dhaka.,The Indian strategy of bypassing heavily defended towns and pushing rapidly toward Dhaka is studied as a model of manoeuvre warfare.,20,45,"{""Wars & Conflicts"",""1971 War""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0049,Operations & Missions,Operation Meghdoot,Easy,MCQ,Operation Meghdoot (1984) was launched to secure which strategic location?,Kargil heights,Siachen Glacier,Karachi harbour,Dhaka,B,India launched Operation Meghdoot to occupy key passes on the Siachen Glacier ahead of a suspected Pakistani move.,"Meghdoot' means 'cloud messenger', named after a classical Sanskrit poem by Kalidasa.",10,45,"{""Operations & Missions"",""Operation Meghdoot""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0050,Operations & Missions,Operation Cactus,Easy,MCQ,Operation Cactus (1988) saw Indian forces intervene in which country to foil a coup?,Seychelles,Sri Lanka,Maldives,Mauritius,C,Indian paratroopers were airlifted overnight to the Maldives to restore President Gayoom's government during an attempted coup.,The operation is widely cited as a textbook example of rapid power projection by the Indian military.,10,45,"{""Operations & Missions"",""Operation Cactus""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0051,Operations & Missions,Operation Pawan,Medium,MCQ,Operation Pawan (1987-90) involved the Indian Peace Keeping Force (IPKF) in which country?,Myanmar,Bangladesh,Maldives,Sri Lanka,D,The IPKF was deployed to Sri Lanka to enforce the Indo-Sri Lanka Accord and disarm militant groups.,"The operation proved far more costly and complex than initially anticipated, lasting nearly three years.",15,45,"{""Operations & Missions"",""Operation Pawan""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0052,Operations & Missions,Operation Blue Star,Medium,MCQ,Operation Blue Star (1984) was conducted at which religious site?,"The Golden Temple, Amritsar",Somnath Temple,"Jama Masjid, Delhi",Akshardham Temple,A,The Indian Army conducted the operation to remove armed militants who had entrenched themselves inside the Golden Temple complex.,The operation remains one of the most controversial military actions in independent India's history.,15,45,"{""Operations & Missions"",""Operation Blue Star""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0053,Operations & Missions,Operation Parakram,Medium,MCQ,Operation Parakram (2001-02) was a large-scale military mobilisation following which event?,The Kargil War,The attack on the Indian Parliament,The Mumbai 26/11 attacks,The IC-814 hijacking,B,"Following the December 2001 Parliament attack, India mobilised nearly a million troops along the border with Pakistan.","Despite the massive mobilisation, the standoff ended without full-scale war, though it prompted major doctrine reviews.",15,45,"{""Operations & Missions"",""Operation Parakram""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0054,Operations & Missions,Operation Sukoon,Medium,MCQ,Operation Sukoon (2006) was a mission to evacuate Indian citizens from which country?,Yemen,Libya,Lebanon,Sudan,C,The Indian Navy evacuated thousands of Indian and other foreign nationals from Lebanon during the Israel-Hezbollah conflict.,"The operation also assisted nationals of several other countries, showcasing the Navy's humanitarian evacuation capability.",15,45,"{""Operations & Missions"",""Operation Sukoon""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0055,Operations & Missions,Operation Vijay (1961),Medium,MCQ,Which 1961 'Operation Vijay' refers to India's annexation of a Portuguese colonial enclave?,Liberation of Junagadh,Liberation of Kashmir,Liberation of Hyderabad,Liberation of Goa,D,"This earlier Operation Vijay led to the annexation of Goa, Daman, and Diu from Portuguese control in December 1961.","This is distinct from the later 'Operation Vijay' of the 1999 Kargil War, which shares the same name.",15,45,"{""Operations & Missions"",""Operation Vijay (1961)""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
