forge_id,content_type,category,title_or_question,difficulty,status
LECT0073,Lecturette,Health,Drug Abuse,Medium,approved
LECT0074,Lecturette,Politics,Religion in Politics,Medium,approved
LECT0075,Lecturette,Crime,Criminalisation of Politics,Medium,approved
LECT0076,Lecturette,Women,Women Empowerment,Medium,approved
LECT0077,Lecturette,Journalism,Indian Media,Medium,approved
LECT0078,Lecturette,ISRO,Indian Space Programme / Space research in India,Medium,approved
LECT0079,Lecturette,Defense,Indian Missile Programme / Missile development in India,Medium,approved
LECT0080,Lecturette,Corruption,Corruption in modern India,Medium,approved
LECT0081,Lecturette,Environment,Pollution,Medium,approved
LECT0082,Lecturette,Water,Water shortage,Medium,approved
LECT0083,Lecturette,Energy,Non-conventional energy,Medium,approved
LECT0084,Lecturette,Safety,Disaster management,Medium,approved
LECT0085,Lecturette,Women,Female infanticide,Medium,approved
LECT0086,Lecturette,Education,Educating a girl child,Medium,approved
LECT0087,Lecturette,Health,AIDS,Medium,approved
LECT0088,Lecturette,Children,Child labor,Medium,approved
LECT0089,Lecturette,Economy,Poverty,Medium,approved
LECT0090,Lecturette,Politics,Reservation / Reservation for women,Medium,approved
LECT0091,Lecturette,Education,Ragging,Medium,approved
LECT0092,Lecturette,Family,Single parenting in India,Medium,approved
LECT0093,Lecturette,Health,Medical tourism,Medium,approved
LECT0094,Lecturette,Economy,Tourism in India,Medium,approved
LECT0095,Lecturette,Media,Freedom of press,Medium,approved
LECT0096,Lecturette,Politics,Role of opposition in democracy,Medium,approved
LECT0097,Lecturette,Law,Human rights,Medium,approved
LECT0098,Lecturette,LGBTQ,Gay rights,Medium,approved
LECT0099,Lecturette,Politics,Banana government,Medium,approved
LECT0100,Lecturette,Defense,Compulsory military training,Medium,approved
LECT0101,Lecturette,Sports,Use of drugs in sports,Medium,approved
LECT0102,Lecturette,Law,RTI,Medium,approved
LECT0103,Lecturette,Education,RTE,Medium,approved
LECT0104,Lecturette,Education,My School,Low,approved
LECT0105,Lecturette,Relationships,Friends,Low,approved
LECT0106,Lecturette,Family,Best Child,Low,approved
LECT0107,Lecturette,Memories,Childhood Days,Low,approved
LECT0108,Lecturette,Internet,E-mail,Low,approved
LECT0109,Lecturette,Entertainment,Cinema,Low,approved
LECT0110,Lecturette,Tech,Mobile Phone,Low,approved
LECT0111,Lecturette,Gaming,Computer Games,Low,approved
LECT0112,Lecturette,Sports,Cricket in India,Low,approved
LECT0113,Lecturette,Health,Yoga,Low,approved
LECT0114,Lecturette,Role Model,My Idol / My role model,Low,approved
LECT0115,Lecturette,Inspiration,Personality I Like the Most,Low,approved
LECT0116,Lecturette,Family,Role of Parents,Low,approved
LECT0117,Lecturette,Family,Joint Family System,Low,approved
LECT0118,Lecturette,Proverb,A friend in need is a friend indeed,Low,approved
LECT0119,Lecturette,Family,My Father,Low,approved
LECT0120,Lecturette,Personal,My hobby,Low,approved
LECT0121,Lecturette,Sports,Value of sports and games,Low,approved
LECT0122,Lecturette,Society,Generation gap,Low,approved
GD0001,Group Discussion,Social Issues,In past few decades it is seen that people from Indian villages are migrating to cities very fast. According to you what is the reason behind this exodus?,Medium,approved
GD0002,Group Discussion,Social Issues,The corruption in public life is increased in India in past few years; this problem is growing day by day. According to you what is driving factor for the corruption in our day today life need or greed?,Medium,approved
GD0003,Group Discussion,Economy,"India has several states and some of them have progressed very fast, but at the same time some states have shown slow pace in development. According to you what is the basic reason for this disparity?",Medium,approved
GD0004,Group Discussion,Social Issues,Sudden increase in divorce cases. What is the basic reason behind this?,Low,approved
GD0005,Group Discussion,Economy,Causes of this growth in unemployment?,Medium,approved
OIR0001,OIR,Analogy,"Drama is related to scene, in the same way as book is related to...",Low,approved
OIR0002,OIR,Analogy,Waves is related to air in the same way as ripples is related to...,Low,approved
OIR0003,OIR,Analogy,"Shirt is related to button, in the same way as shoes is related to...",Medium,approved
OIR0004,OIR,Analogy,Cloth : Mill :: Newspaper:?,Low,approved
OIR0005,OIR,Analogy,GREAT : 25 :: Number : ?,High,approved
OIR0006,OIR,Analogy,Country : President :: State : ?,Low,approved
OIR0007,OIR,Analogy,Flow : River :: Stagnant : ?,Medium,approved
OIR0008,OIR,Analogy,PASS : QBTT :: FAIL : ?,Medium,approved
OIR0009,OIR,Analogy,Dog is to canine as wolf is to ___________,Medium,approved
OIR0010,OIR,Analogy,Sadness is to happiness as defeat is to ___________,Low,approved
OIR0011,OIR,Analogy,"Paper is made from timber, as ___________ is made from hide",Low,approved
OIR0012,OIR,Analogy,A Thermometer is related to Temperature as a Speedometer is to ___________,Low,approved
OIR0013,OIR,Analogy,Bird is to fly as man is to ________,Low,approved
OIR0014,OIR,Analogy,Milk is to White as Sky is to ___________,Low,approved
OIR0015,OIR,Analogy,Wife is to Husband as Mare is to ___________,Low,approved
OIR0016,OIR,Analogy,"Rich is to Wealthy, as Mars is to ___________",Low,approved
OIR0017,OIR,Series,"48, 24, 72, 36, 108, ?",Medium,approved
OIR0018,OIR,Series,"ELFA, GLHA, ILJA, ……, MLNA",Medium,approved
OIR0019,OIR,Series,"P256, N196, L144, J100, ?",High,approved
OIR0020,OIR,Series,"Find out the wrong number in the given series: 258, 130, 66, 34, 18, 8, 6",High,approved
OIR0021,OIR,Series,"6, 11, 21, 36, 56, ?",Medium,approved
OIR0022,OIR,Series,"1, ?, 27, 64, 125",Low,approved
OIR0023,OIR,Series,"10, 22, 8, 24, 6, ?",Medium,approved
OIR0024,OIR,Series,"Find the missing, 3,7,11,15,_,_",Low,approved
OIR0025,OIR,Series,Supply the missing numbers: 2 6 12 20 30 ? 56,Medium,approved
OIR0026,OIR,Coding-Decoding,In a certain code BASIC is written as DDULE. How is LEADER written in that code?,Medium,approved
OIR0027,OIR,Coding-Decoding,In a certain code PEN is written as NZO and BARK as CTSL. How can we write PRANK in that coding system?,High,approved
OIR0028,OIR,Coding-Decoding,"If ROYAL is coded as 20-17-01-03-14, how will you code BOIL?",Medium,approved
OIR0029,OIR,Coding-Decoding,"If in a certain code, BAT = 23 and BALL = 27, then how will you code CAT?",Medium,approved
OIR0030,OIR,Coding-Decoding,"If 'Room' is called as 'Book', 'Book' is called as 'Bag', 'Bag' is called as 'Mat'. Then, what is useful to carry books?",Low,approved
OIR0031,OIR,Coding-Decoding,"In a certain code '467' means 'red colour chalk'; '685' means 'green colour flower' and '367' means 'white colour chalk', then what is the code for 'white'?",Medium,approved
OIR0032,OIR,Coding-Decoding,"If in a code language, PAINT is written as 74128 and EXCEL is written as 93596, then how will ACCEPT be written in that language?",Medium,approved
OIR0033,OIR,Coding-Decoding,"If HKTG means Fire, what does YCVGT mean?",High,approved
OIR0034,OIR,Coding-Decoding,"If 'ZYXW' is coded as 'ABCD', then 'STUV' will be coded as",Low,approved
OIR0035,OIR,Coding-Decoding,"In a language A is coded as 1, B is coded as 2, then FACE is coded as",Low,approved
OIR0036,OIR,Coding-Decoding,"If 'Hyderabad' is coded as 'Ixedszcze', then 'Chennai' is coded as",High,approved
OIR0037,OIR,Blood Relations,"A is the brother of B. B is the brother of C. D is the father of A. Based on these three statements, which of the following statements cannot be definitely true? (a) B is the brother of A (b) B is the son of D (c) A is the brother of C (d) C is the brother of A",Medium,approved
OIR0038,OIR,Blood Relations,"Pointing to Parul, Ram said, She is daughter of the only child of my father. How is Ram's wife related to that girl?",Medium,approved
OIR0039,OIR,Blood Relations,My mother's sister's husband's only son's sister is related to me as,Medium,approved
OIR0040,OIR,Blood Relations,A lady introduces a man as the son of the brother of her mother. How is the man related to the woman?,Low,approved
OIR0041,OIR,Blood Relations,"Arjun told Rachit, 'Yesterday I defeated the only brother of the daughter of my grandmother.' Whom did Arjun defeat?",High,approved
OIR0042,OIR,Blood Relations,X and Y are children of Z. Z is the father of X but Y is not the son of Z. What is Y to Z?,Medium,approved
OIR0043,OIR,Blood Relations,"If a party consisted of a man and his wife, their two sons and their wives and four children of each son, how many persons were there in all in the party?",High,approved
OIR0044,OIR,Direction Sense,"Bani leaves her house and walks 5 m towards North, turns right and walks 10 m, then turns right and walks 5 m, then turns left and walks 15 m. In which direction is she now?",Medium,approved
OIR0045,OIR,Direction Sense,"From her house, Seema went 15 km to the North. Then she turned West and covered 10 km. Then she turned South and covered 5 km. Finally turning to the East, she covered 10 km. In which direction is she from her house?",Medium,approved
OIR0046,OIR,Direction Sense,A clock is so placed that at 12 : 00 noon its minute hand points towards North-East. In which direction does its hour hand point at 1:30 pm?,High,approved
OIR0047,OIR,Direction Sense,"Vijay started walking towards South. After walking 15 m, he turned to the left and walked 15 m. He again turned to his left and walked 15 m. How far is he from his original position and in which direction?",Medium,approved
OIR0048,OIR,Direction Sense,"If you start from point A and walk 4 miles towards the east, then turn left and walk 3 miles towards the north, turn left again and walk 2 miles, which choice mentions the direction in which you are going?",Medium,approved
OIR0049,OIR,Classification,Choose the one which is different from others. (a) BYCX (b) FUHS (c) KPMN (d) IQEU,High,approved
OIR0050,OIR,Classification,"Three out of the following four pairs of numbers have the same relationship. Find the odd one out. (a) 4, 63 (b) 1, 0 (c) 2, 15 (d) 5, 124",Medium,approved
OIR0051,OIR,Classification,Which one of the following is the odd one out? (a) Babar (b) Shershah (c) Humayun (d) Akbar,Medium,approved
OIR0052,OIR,Classification,Select the one which is different from the other four responses. (a) Flute (b) Guitar (c) Sitar (d) Violin,Low,approved
OIR0053,OIR,Classification,"Find the odd word in each of the following lines: Needle, Tackle, Nail, Knife, Pin",Medium,approved
OIR0054,OIR,Classification,"Find the odd word: Circle, Square, Triangle, Hexagon, Pentagon",Low,approved
OIR0055,OIR,Non Mirror Images,Choose the alternative which most closely resembles the mirror image of the given combination: TRIUMPHS,Low,approved
OIR0056,OIR,Non Mirror Images,Choose the alternative which most closely resembles the mirror image of the given combination: 73AP4OD8,Medium,approved
OIR0057,OIR,Non Mirror Images,Choose the alternative which shows the correct water image of the word given: FROG,Low,approved
OIR0058,OIR,Non Figure Series,"In a series of figures where a main geometry rotates 90 degrees anti-clockwise in each step and its shaded portions shift to the connecting lines, what constitutes the next figure logically?",High,approved
OIR0059,OIR,Non Figure Series,"In a series of hexagons where two inner designs move one step clockwise and two other designs move one step anti-clockwise alternately, what constitutes the next sequence?",High,approved
OIR0060,OIR,Non Pattern Recognition,A cube whose two adjacent faces are coloured is cut into 64 identical small cubes. How many of these small cubes are not coloured at all?,High,approved
OIR0061,OIR,Non Pattern Recognition,"Two positions of a dice are shown (showing faces 5,6,4 and 2,1,5). What will be the number at the bottom, if 5 is at the top?",Medium,approved
OIR0062,OIR,Non Pattern Recognition,A figure X is given followed by four figures. The candidate has to select the figure in which the problem figure X is perfectly embedded. How is this solved?,Medium,approved
OIR0063,OIR,Non Pattern Recognition,A figure is given which has a definite geometric pattern but nearly a quarter of that pattern is left blank. The candidate must complete it. What is the objective?,Medium,approved
TAT0001,TAT,Theme Concept,TAT Theme Idea - Factory or Workshop,Medium,approved
TAT0002,TAT,Theme Concept,TAT Theme Idea - Office Meeting/Phone Calls,Medium,approved
TAT0003,TAT,Theme Concept,TAT Theme Idea - Fight/Running/Weapon,Medium,approved
TAT0004,TAT,Theme Concept,TAT Theme Idea - Defence Forces,Medium,approved
TAT0005,TAT,Theme Concept,TAT Theme Idea - Vehicle/Car/Bike,Medium,approved
TAT0006,TAT,Labor/Roadwork,TAT Picture Theme - Working on Road,Medium,approved
TAT0007,TAT,Loneliness/Critical Condition,TAT Picture Theme - Boy sitting alone,Medium,approved
TAT0008,TAT,Sports/Family,Sample Story - Chess Player,Medium,approved
TAT0009,TAT,Emergency/Courage,Sample Story - Drowning Rescue,Medium,approved
TAT0010,TAT,Childhood Inspiration,Sample Story - Picture 1 (Story 1),Medium,approved
TAT0011,TAT,Startup/Engineering,Sample Story - Picture 1 (Story 2),Medium,approved
TAT0012,TAT,Athletics,Sample Story - Picture 2 (Story 1),Medium,approved
TAT0013,TAT,Student Exchange,Sample Story - Picture 2 (Story 2),Medium,approved
TAT0014,TAT,Education/Village,Sample Story - Picture 3 (Story 1),Medium,approved
TAT0015,TAT,Crop Insurance,Sample Story - Picture 3 (Story 2),Medium,approved
TAT0016,TAT,Digital Education,Sample Story - Picture 4 (Story 1),Medium,approved
TAT0017,TAT,Smart Agriculture,Sample Story - Picture 4 (Story 2),Medium,approved
TAT0018,TAT,Medical Emergency,Sample Story - Picture 5 (Story 1),Medium,approved
TAT0019,TAT,Civil Engineering,Sample Story - Picture 5 (Story 2),Medium,approved
TAT0020,TAT,Fire Rescue,Sample Story - Picture 6 (Story 1),Medium,approved
TAT0021,TAT,Gas Cylinder Sabotage,Sample Story - Picture 6 (Story 2),Medium,approved
TAT0022,TAT,Law Student/Soccer,Sample Story - Picture 7 (Story 1),Medium,approved
TAT0023,TAT,Convocation/Environment,Sample Story - Picture 7 (Story 2),Medium,approved
TAT0024,TAT,Accident Rescue,Sample Story - Picture 8 (Story 1),Medium,approved
TAT0025,TAT,Ancient Weaponry,Sample Story - Picture 9 (Story 1),Medium,approved
TAT0026,TAT,Archaeology,Sample Story - Picture 9 (Story 2),Medium,approved
WAT0001,WAT,Sense of Responsibility,CAREFUL,Medium,approved
WAT0002,WAT,Cooperation,AGREE,Easy,approved
WAT0003,WAT,Liveliness,BEAUTIFUL,Easy,approved
WAT0004,WAT,Determination,CANNOT,Hard,approved
WAT0005,WAT,Reasoning Ability,CONFUSE,Hard,approved
WAT0006,WAT,Social Adaptability,BAD,Hard,approved
WAT0007,WAT,Ability to Influence the Group,CROWD,Medium,approved
WAT0008,WAT,Organising Ability,COMPLETE,Easy,approved
WAT0009,WAT,Power of Expression,INSTRUCTION,Medium,approved
WAT0010,WAT,Sense of Responsibility,CHEAT,Hard,approved
WAT0011,WAT,Liveliness,ENCOURAGEMENT,Medium,approved
WAT0012,WAT,Courage,CRY,Hard,approved
WAT0013,WAT,Effective Intelligence,QUALITY,Medium,approved
WAT0014,WAT,Social Adaptability,COMPANY,Easy,approved
WAT0015,WAT,Sense of Responsibility,HONOUR,Medium,approved
WAT0016,WAT,Determination,DEFEAT,Hard,approved
WAT0017,WAT,Reasoning Ability,REASON,Medium,approved
WAT0018,WAT,Power of Expression,CONVERSATION,Easy,approved
WAT0019,WAT,Courage,OPPOSITION,Hard,approved
WAT0020,WAT,Liveliness,DISTURB,Hard,approved
WAT0021,WAT,Speed of Decision,SPEED,Medium,approved
WAT0022,WAT,Cooperation,COOPERATION,Easy,approved
WAT0023,WAT,Sense of Responsibility,PARENTS,Easy,approved
WAT0024,WAT,Determination,DREAM,Medium,approved
WAT0025,WAT,Self-Confidence,SURE,Easy,approved
WAT0026,WAT,Social Adaptability,FRIENDSHIP,Easy,approved
WAT0027,WAT,Cooperation,SYMPATHY,Medium,approved
WAT0028,WAT,Courage,FEARFUL,Hard,approved
WAT0029,WAT,Effective Intelligence,ADVERTISEMENT,Medium,approved
WAT0030,WAT,Cooperation,GIVE,Easy,approved
WAT0031,WAT,Cooperation,TEAM,Easy,approved
WAT0032,WAT,Determination,HEIGHT,Medium,approved
WAT0033,WAT,Organising Ability,BUSY,Medium,approved
WAT0034,WAT,Cooperation,HELP,Easy,approved
WAT0035,WAT,Self-Confidence,ASSERT,Medium,approved
WAT0036,WAT,Initiative,HELPLESS,Hard,approved
WAT0037,WAT,Ability to Influence the Group,ENFORCE,Medium,approved
WAT0038,WAT,Sense of Responsibility,TRUTH,Medium,approved
WAT0039,WAT,Cooperation,CONTRIBUTE,Medium,approved
WAT0040,WAT,Determination,HIGH,Easy,approved
WAT0041,WAT,Liveliness,FILMS,Easy,approved
WAT0042,WAT,Social Adaptability,UNTOUCHABILITY,Hard,approved
WAT0043,WAT,Sense of Responsibility,EXPLOITATION,Hard,approved
WAT0044,WAT,Effective Intelligence,HINT,Medium,approved
WAT0045,WAT,Determination,LIMIT,Medium,approved
WAT0046,WAT,Social Adaptability,ALOOF,Hard,approved
WAT0047,WAT,Liveliness,BLESSING,Easy,approved
WAT0048,WAT,Liveliness,HOLIDAY,Easy,approved
WAT0049,WAT,Speed of Decision,MOVEMENT,Medium,approved
WAT0050,WAT,Sense of Responsibility,BLUFF,Hard,approved
WAT0051,WAT,Organising Ability,EMPLOY,Medium,approved
WAT0052,WAT,Sense of Responsibility,INJURED,Hard,approved
WAT0053,WAT,Social Adaptability,PRECIOUS,Easy,approved
WAT0054,WAT,Initiative,BRING,Easy,approved
WAT0055,WAT,Ability to Influence the Group,INSTRUCTOR,Medium,approved
WAT0056,WAT,Liveliness,LIFE,Easy,approved
WAT0057,WAT,Reasoning Ability,REAL,Medium,approved
WAT0058,WAT,Social Adaptability,CLASS,Easy,approved
WAT0059,WAT,Determination,RANK,Medium,approved
WAT0060,WAT,Social Adaptability,LONELY,Hard,approved
WAT0061,WAT,Speed of Decision,CHOICE,Medium,approved
WAT0062,WAT,Social Adaptability,CO-EDUCATION,Medium,approved
WAT0063,WAT,Self-Confidence,CHAMPION,Easy,approved
WAT0064,WAT,Reasoning Ability,DETERIORATE,Hard,approved
WAT0065,WAT,Effective Intelligence,CURE,Medium,approved
WAT0066,WAT,Cooperation,COOPERATE,Easy,approved
WAT0067,WAT,Effective Intelligence,CLEVER,Medium,approved
WAT0068,WAT,Sense of Responsibility,DISEASE,Hard,approved
WAT0069,WAT,Determination,DEMAND,Medium,approved
WAT0070,WAT,Social Adaptability,FRIEND,Easy,approved
WAT0071,WAT,Ability to Influence the Group,COMPEL,Hard,approved
WAT0072,WAT,Sense of Responsibility,DOCTOR,Easy,approved
WAT0073,WAT,Organising Ability,FOREST,Medium,approved
WAT0074,WAT,Liveliness,HOME,Easy,approved
WAT0075,WAT,Determination,EARN,Medium,approved
WAT0076,WAT,Sense of Responsibility,LIE,Hard,approved
WAT0077,WAT,Social Adaptability,PARTIALITY,Hard,approved
WAT0078,WAT,Stamina,EXERCISE,Easy,approved
WAT0079,WAT,Sense of Responsibility,PATRIOTISM,Medium,approved
WAT0080,WAT,Liveliness,LIVE,Easy,approved
WAT0081,WAT,Self-Confidence,PRIDE,Medium,approved
WAT0082,WAT,Determination,PROGRESS,Easy,approved
WAT0083,WAT,Courage,OPPOSE,Hard,approved
WAT0084,WAT,Social Adaptability,RESPECT,Medium,approved
WAT0085,WAT,Initiative,FIRE,Hard,approved
WAT0086,WAT,Organising Ability,BANK,Easy,approved
WAT0087,WAT,Social Adaptability,RUDE,Hard,approved
WAT0088,WAT,Reasoning Ability,FUTURE,Medium,approved
WAT0089,WAT,Effective Intelligence,BOOK,Easy,approved
WAT0090,WAT,Sense of Responsibility,SINCERITY,Medium,approved
WAT0091,WAT,Cooperation,ALLOW,Medium,approved
WAT0092,WAT,Determination,GET,Easy,approved
WAT0093,WAT,Reasoning Ability,DARJEELING,Medium,approved
WAT0094,WAT,Social Adaptability,TEASE,Hard,approved
WAT0095,WAT,Cooperation,CONSOLE,Medium,approved
WAT0096,WAT,Determination,HARD WORK,Medium,approved
WAT0097,WAT,Effective Intelligence,GRADUATE,Easy,approved
WAT0098,WAT,Sense of Responsibility,TRAITOR,Hard,approved
WAT0099,WAT,Social Adaptability,ELDERS,Easy,approved
WAT0100,WAT,Stamina,HIKING,Easy,approved
WAT0101,WAT,Effective Intelligence,IMAGINATION,Medium,approved
WAT0102,WAT,Cooperation,UNION,Medium,approved
WAT0103,WAT,Sense of Responsibility,NURSE,Medium,approved
WAT0104,WAT,Determination,IMPROVEMENT,Easy,approved
WAT0105,WAT,Cooperation,UNITY,Easy,approved
WAT0106,WAT,Sense of Responsibility,LIEUTENANT,Medium,approved
WAT0107,WAT,Organising Ability,LATE,Hard,approved
WAT0108,WAT,Social Adaptability,LISTEN,Medium,approved
WAT0109,WAT,Social Adaptability,VULGAR,Hard,approved
WAT0110,WAT,Liveliness,SATISFY,Medium,approved
WAT0111,WAT,Sense of Responsibility,RULE,Medium,approved
WAT0112,WAT,Social Adaptability,WOMAN,Easy,approved
WAT0113,WAT,Ability to Influence the Group,PRESIDENT,Medium,approved
WAT0114,WAT,Self-Confidence,NERVOUS,Hard,approved
WAT0115,WAT,Courage,BRAVERY,Medium,approved
WAT0116,WAT,Speed of Decision,DECIDE,Medium,approved
WAT0117,WAT,Reasoning Ability,DIFFERENCE,Medium,approved
WAT0118,WAT,Effective Intelligence,LESSON,Easy,approved
WAT0119,WAT,Reasoning Ability,MEANING,Medium,approved
WAT0120,WAT,Effective Intelligence,PRACTICAL,Medium,approved
WAT0121,WAT,Sense of Responsibility,REPORT,Medium,approved
WAT0122,WAT,Effective Intelligence,NOVEL,Medium,approved
WAT0123,WAT,Organising Ability,PURCHASE,Easy,approved
WAT0124,WAT,Social Adaptability,FRIENDLY,Easy,approved
WAT0125,WAT,Cooperation,INTERFERENCE,Hard,approved
WAT0126,WAT,Liveliness,PLAY,Easy,approved
WAT0127,WAT,Social Adaptability,ROMANCE,Medium,approved
WAT0128,WAT,Self-Confidence,SHOW,Easy,approved
WAT0129,WAT,Effective Intelligence,SMART,Medium,approved
WAT0130,WAT,Sense of Responsibility,SON,Easy,approved
WAT0131,WAT,Cooperation,ASSIST,Medium,approved
WAT0132,WAT,Social Adaptability,BEHAVIOUR,Medium,approved
WAT0133,WAT,Reasoning Ability,EXCEPT,Hard,approved
WAT0134,WAT,Sense of Responsibility,EXCUSE,Hard,approved
WAT0135,WAT,Social Adaptability,ADMIRE,Medium,approved
WAT0136,WAT,Ability to Influence the Group,FOLLOWER,Medium,approved
WAT0137,WAT,Sense of Responsibility,IMPARTIAL,Medium,approved
WAT0138,WAT,Sense of Responsibility,MOTHER,Easy,approved
WAT0139,WAT,Sense of Responsibility,PATRIOT,Medium,approved
WAT0140,WAT,Sense of Responsibility,PRINCIPAL,Medium,approved
WAT0141,WAT,Sense of Responsibility,PUNISH,Hard,approved
WAT0142,WAT,Cooperation,SUPPORT,Medium,approved
WAT0143,WAT,Determination,ABOVE,Easy,approved
WAT0144,WAT,Ability to Influence the Group,MAJORITY,Medium,approved
WAT0145,WAT,Cooperation,CONTRIBUTION,Medium,approved
WAT0146,WAT,Speed of Decision,DISMISS,Hard,approved
WAT0147,WAT,Liveliness,ACTIVE,Easy,approved
WAT0148,WAT,Courage,BLOOD,Medium,approved
WAT0149,WAT,Determination,BREAK,Hard,approved
WAT0150,WAT,Reasoning Ability,CURSE,Hard,approved
WAT0151,WAT,Determination,DESIRE,Medium,approved
WAT0152,WAT,Stamina,GAME,Easy,approved
WAT0153,WAT,Courage,HIJACKING,Hard,approved
WAT0154,WAT,Determination,IMPROVE,Medium,approved
WAT0155,WAT,Effective Intelligence,NECESSITY,Medium,approved
WAT0156,WAT,Self-Confidence,NOTHING,Hard,approved
WAT0157,WAT,Liveliness,PLEASURE,Easy,approved
