question,correct_answer,difficulty,category
Where is the Eastern Naval Command headquartered?,"Visakhapatnam, Andhra Pradesh.",Easy,Indian Armed Forces
Where is the Southern Naval Command headquartered?,"Kochi, Kerala.",Easy,Indian Armed Forces
Which is the joint command of the Indian Armed Forces?,The Andaman and Nicobar Command.,Medium,Indian Armed Forces
Where is the Andaman and Nicobar Command headquartered?,Port Blair.,Medium,Indian Armed Forces
Who heads the Andaman and Nicobar Command?,The Chief of Integrated Service Command (CISC).,Hard,Indian Armed Forces
What does INS stand for in the Indian Navy?,Indian Naval Ship.,Easy,Indian Armed Forces
When was the Indian Air Force established?,8 October 1932.,Medium,Indian Armed Forces
What is the motto of the Indian Air Force?,Touch the sky with glory (Nabha Sparsham Deeptam).,Medium,Indian Armed Forces
Where is the Central Air Command headquartered?,"Allahabad, Uttar Pradesh.",Medium,Indian Armed Forces
Where is the Eastern Air Command headquartered?,"Shillong, Meghalaya.",Medium,Indian Armed Forces
Where is the Southern Air Command headquartered?,"Thiruvananthapuram, Kerala.",Medium,Indian Armed Forces
Where is the South Western Air Command headquartered?,"Gandhinagar, Gujarat.",Medium,Indian Armed Forces
Where is the Western Air Command headquartered?,New Delhi.,Medium,Indian Armed Forces
Where is the Training Command of the IAF headquartered?,Bengaluru.,Medium,Indian Armed Forces
Where is the Maintenance Command of the IAF headquartered?,Nagpur.,Medium,Indian Armed Forces
Where is the Indian Military Academy located?,"Dehradun, Uttarakhand.",Easy,General Awareness
Where is the Officers Training Academy for Short Service Commission located?,"Chennai, Tamil Nadu.",Medium,General Awareness
Where is the Officers Training Academy for TES and SCO courses located?,"Gaya, Bihar.",Hard,General Awareness
Where is the National Defence Academy located?,"Khadakwasla, Pune.",Easy,General Awareness
Where is the Indian Naval Academy located?,"Ezhimala, Kerala.",Easy,General Awareness
Where is the Air Force Academy located?,"Dundigal, Hyderabad.",Easy,General Awareness
What is the primary role of the Corps of Signals?,"Handling communications, information technology, electronic warfare, and cyber operations.",Medium,Indian Armed Forces
Which branch of the Indian Army is known as the Cyber Warriors?,The Corps of Signals.,Hard,Indian Armed Forces
What is the primary role of the Army Aviation Corps?,Providing attack helicopters as the manoeuvre arm against enemy mechanised columns.,Medium,Indian Armed Forces
What is the primary responsibility of the Army Medical Corps?,"Managing operations casualties, health, and hygiene of the field force.",Medium,Indian Armed Forces
What is the primary role of the Corps of Military Police?,Regulating the movement of combat forces and ensuring military discipline.,Medium,Indian Armed Forces
What is the highest peacetime gallantry award in India?,Ashok Chakra.,Easy,Defence Awareness
What is the highest wartime gallantry award in India?,Param Vir Chakra.,Easy,Defence Awareness
Who was the first recipient of the Param Vir Chakra?,Major Somnath Sharma.,Medium,Military Awareness
What was Operation Meghdoot?,A 1984 Indian Armed Forces operation to capture the Siachen Glacier.,Hard,Military Awareness
What was Operation Cactus?,A 1988 Indian military operation to thwart a mercenary invasion in the Maldives.,Hard,Military Awareness
What was Operation Pawan?,A 1987 operation by the Indian Peace Keeping Force in Sri Lanka.,Hard,Military Awareness
What was Operation Safed Sagar?,The 1999 Indian Air Force strike operation during the Kargil conflict.,Hard,Military Awareness
What was Operation Vijay?,The codename for the 1999 Kargil War.,Medium,Military Awareness
What was Operation Sukoon?,A 2006 Indian Navy operation to evacuate citizens from war-torn Lebanon.,Hard,Military Awareness
What is the Arjun MBT Mk1?,The primary main battle tank of the Indian Army.,Easy,Defence Technology
What is the origin of the T-90 Bhishma tank?,It is a joint venture between India and Russia.,Medium,Defence Technology
What is the origin of the T-72M1 Ajeya tank?,Soviet Union.,Medium,Defence Technology
What is the origin of the T-55 battle tank?,Soviet Union.,Medium,Defence Technology
What is the origin of the BMP-2 Sarath?,Soviet Union.,Medium,Defence Technology
What is the BRDM-2?,An amphibious armoured reconnaissance vehicle of Soviet origin.,Hard,Defence Technology
What is the FH77/B Howitzer commonly known as?,Bofors.,Medium,Defence Technology
What is Smerch?,A multiple rocket launcher system of Russian origin used by India.,Hard,Defence Technology
Which two countries collaborated to create the BrahMos missile?,India and Russia.,Easy,International Relations
What type of missile is BrahMos?,A supersonic ramjet cruise missile.,Easy,Defence Technology
What is the range of the Agni-I ballistic missile?,700 to 800 kilometers.,Medium,Defence Technology
What is the range of the Agni-II ballistic missile?,"2,000 to 3,500 kilometers.",Medium,Defence Technology
What is the range of the Agni-III ballistic missile?,"3,500 to 5,000 kilometers.",Medium,Defence Technology
What type of missile is Akash?,A surface-to-air missile developed by India.,Medium,Defence Technology
What type of missile is Trishul?,A short-range surface-to-air missile developed by India.,Medium,Defence Technology
What is the Prithvi Air Defence (PAD)?,An anti-ballistic missile system for outside the atmosphere interception.,Hard,Defence Technology
What is the Advanced Air Defence (AAD)?,An anti-ballistic missile system for endo-atmospheric interception.,Hard,Defence Technology
What is the Tejas?,An indigenously developed multi-role light combat aircraft.,Easy,Defence Technology
Which is the primary air superiority fighter of the Indian Air Force?,Sukhoi Su-30MKI.,Easy,Defence Technology
What is the Dassault Mirage 2000 known as in the IAF?,Vajra.,Medium,Defence Technology
What is the SEPECAT Jaguar known as in the IAF?,Shamsher.,Hard,Defence Technology
What is the BAE Hawk Mk 132 used for?,It serves as an advanced jet trainer in the Indian Air Force.,Medium,Defence Technology
What is the Ilyushin Il-76?,A heavy military transport aircraft used by the Indian Air Force.,Medium,Defence Technology
Name a heavy-lift helicopter operated by the Indian Air Force.,The Mil Mi-26.,Hard,Defence Technology
Name an attack helicopter operated by the Indian Air Force.,The Mil Mi-35.,Hard,Defence Technology
Name two Unmanned Aerial Vehicles (UAVs) used by the IAF for reconnaissance.,IAI Searcher II and IAI Heron.,Hard,Defence Technology
What is the IAI Harpy used for by the Indian Air Force?,It is an Unmanned Combat Aerial Vehicle designed to attack radar systems.,Hard,Defence Technology
What is the DRDO Lakshya?,A pilotless target aircraft used as a towed aerial sub-target for live fire training.,Hard,Defence Technology
Name the aircraft carrier currently active in the Indian Navy.,INS Vikramaditya and INS Vikrant,Easy,Defence Awareness
From which country did India purchase the INS Vikramaditya?,Russia.,Medium,International Relations
What is INS Chakra?,A nuclear-powered attack submarine leased from Russia.,Hard,Defence Technology
What is INS Arihant?,An indigenously built nuclear-powered ballistic missile submarine.,Hard,Defence Technology
What is MARCOS?,"The Marine Commando Force, a special operations unit of the Indian Navy.",Medium,Indian Armed Forces
What is the Garud Commando Force?,The special operations unit of the Indian Air Force.,Medium,Indian Armed Forces
What is the Sagarika missile?,An oceanic submarine-launched ballistic missile (SLBM).,Hard,Defence Technology
What is the Klub SS-N-27?,A foreign-made cruise missile system used by the Indian Navy.,Hard,Defence Technology
What is the Nirbhay?,An indigenously developed sub-sonic cruise missile system of India.,Hard,Defence Technology
What is Sangraha in the context of the Indian Navy?,A joint electronic warfare programme of the DRDO and the Indian Navy.,Hard,Defence Technology
What does NEWN stand for in the Indian Navy?,Navy Enterprise Wide Network.,Hard,Defence Technology
Where is the Naval Institute of Computer Applications located?,Mumbai.,Hard,Indian Armed Forces
What is COMCASA?,A communications compatibility pact between India and the US for secure military hardware.,Hard,International Relations
What is LEMOA?,The Logistics Exchange Memorandum of Agreement signed between India and the US in 2016.,Hard,International Relations
What is the 123 Agreement?,The US-India Civil Nuclear Agreement signed to facilitate civilian nuclear trade.,Hard,International Relations
What is the NSG?,"The Nuclear Suppliers Group, a multinational export-control cartel for nuclear technologies.",Medium,International Relations
What is the IAEA?,"The International Atomic Energy Agency, which assists member states with safe nuclear technologies.",Medium,International Relations
What was the Rafale Deal?,An agreement between India and France for the purchase of 36 Dassault Rafale fighter aircraft.,Easy,International Relations
Who is known as the Missile Man of India?,Dr. APJ Abdul Kalam.,Easy,General Awareness
What is the Territorial Army?,A reserve force of volunteers who receive brief military training for emergency mobilization.,Medium,Indian Armed Forces
What is DRDO?,"Defence Research and Development Organisation, responsible for developing military technology in India.",Easy,Defence Technology
What is the motto of the National Cadet Corps (NCC)?,Unity and Discipline.,Easy,General Awareness
When is NCC Day celebrated?,The fourth Sunday of November every year.,Medium,General Awareness
What is Aadhaar?,A 12-digit unique identity number issued to Indian residents by UIDAI.,Easy,General Awareness
When was the Unique Identification Authority of India (UIDAI) established?,January 2009.,Medium,General Awareness
What is the primary objective of Swachh Bharat Abhiyan?,To clean India's infrastructure and completely eradicate open defecation.,Medium,General Awareness
What is the NRC?,"National Register of Citizens, maintained to identify illegal immigrants in India.",Medium,General Awareness
What is the UDAN scheme?,A Regional Connectivity Scheme aimed at making air travel affordable for common citizens.,Medium,General Awareness
What does the acronym UDAN stand for?,Ude Desh ka Aam Naagrik.,Easy,General Awareness
What is Mission Indradhanush?,A health initiative to step up routine immunisation for vaccine-preventable diseases in children.,Medium,General Awareness
What is the Goods and Services Tax Network (GSTN)?,A non-profit organisation formed to create the IT network for GST.,Medium,General Awareness
Which company developed the software for the Goods and Services Tax Network (GSTN)?,Infosys Technologies.,Hard,General Awareness
What is the objective of the Pravasi Kaushal Vikas Yojana?,To provide skill training to Indian youth seeking overseas employment.,Medium,General Awareness
On what date did the Supreme Court of India declare the practice of instant triple talaq unconstitutional?,22 August 2017.,Hard,Indian Constitution
What does BMMA stand for?,Bharatiya Muslim Mahila Andolan.,Hard,General Awareness
Which emerging economies largely lead the G20 block?,"India, China, and Brazil.",Medium,International Relations
Name four member countries of the Shanghai Cooperation Organisation (SCO).,"China, Russia, Kazakhstan, and Uzbekistan.",Hard,International Relations
What does ITER stand for?,International Thermonuclear Experimental Reactor.,Hard,International Relations
What is the difference between a gun and a rifle?,A gun is a general term for projectile weapons; a rifle has spiral grooves inside its barrel.,Medium,Defence Technology
Which country originally developed the Kriss Vector submachine gun?,Switzerland.,Hard,Defence Technology
How many engines does the Dassault Rafale fighter have?,Two engines.,Easy,Defence Technology
What is the principle of buoyancy?,The upward force exerted by a fluid that opposes the weight of an immersed object.,Medium,General Awareness
What is a frigate?,"A fast, maneuverable naval warship used to protect other vessels from submarines and aircraft.",Medium,Defence Technology
What is a corvette?,"A small, highly maneuverable, and lightly armed warship, typically smaller than a frigate.",Medium,Defence Technology
What does the Right to Education Act ensure?,It makes education a fundamental right for children in India.,Easy,Indian Constitution
What was the primary cause of the 1999 Kargil conflict?,Infiltration by Pakistani soldiers and militants into the Indian side of the Line of Control.,Medium,Military Awareness
