"Who was the original founder of the Indian National Army (INA) before it was reorganized by Subhas Chandra Bose?","Mohan Singh","Rash Behari Bose","Sachindra Nath Sanyal","Surya Sen","Mohan Singh","The INA was originally founded by Mohan Singh, a former officer in the British Indian Army, before it was later famously led and reorganized by Subhas Chandra Bose.","Hard","Military History"
"During the Battle of Haldighati in 1576, the Mughal forces of Emperor Akbar were commanded by which Rajput ruler?","Amar Singh I","Udai Singh II","Man Singh I","Jai Singh I","Man Singh I","Akbar's forces were commanded by Man Singh I of Amber at the Battle of Haldighati, where they fought against Maharana Pratap.","Medium","Military History"
"Which Indian revolutionary authored the book The Indian War of Independence to describe the 1857 uprising?","V.D. Savarkar","Aurobindo Ghosh","Bipin Chandra Pal","Lala Lajpat Rai","V.D. Savarkar","V.D. Savarkar authored The Indian War of Independence, documenting the 1857 uprising and framing it as a nationalist struggle rather than a mere mutiny.","Medium","Military History"
"Who among the following authored the Ain-i-Akbari, a detailed document recording the administration of the Mughal Empire?","Abu'l Fazl","Amir Khusrau","Ziauddin Barani","Abdul Qadir Badayuni","Abu'l Fazl","Abu'l Fazl, the court historian and one of the Navaratnas of Emperor Akbar, authored Ain-i-Akbari in Persian, detailing his administration.","Medium","Military History"
"Which Muslim ruler of the Delhi Sultanate is credited with the introduction of a token currency system?","Ghiyasuddin Balban","Alauddin Khilji","Mohammad Bin Tughlaq","Firoz Shah Tughlaq","Mohammad Bin Tughlaq","Mohammad Bin Tughlaq introduced a token currency system using copper and brass coins, which was an innovative but ultimately unsuccessful economic experiment.","Medium","Military History"
"Which of the following aircraft serves as a multi-role Light Combat Aircraft (LCA) in the Indian Air Force?","Sukhoi Su-30 MKI","MiG-21 Bison","HAL Tejas","SEPECAT Jaguar","HAL Tejas","The HAL Tejas is a single-engine, multi-role Light Combat Aircraft (LCA) indigenously designed by ADA and HAL for the Indian Air Force.","Easy","Defence Technology"
"The Indian Air Force's AWACS (Airborne Warning and Control System) is mounted on which of the following heavy military transport aircraft?","Boeing C-17 Globemaster","Ilyushin IL-76","Lockheed C-130J Super Hercules","Antonov An-32","Ilyushin IL-76","The Indian Air Force's AWACS radar system is integrated into and mounted on the heavy military transport aircraft IL-76.","Medium","Defence Technology"
"The Khilafat Movement was merged with which of the following major national movements to unify anti-British resistance?","Quit India Movement","Non-Cooperation Movement","Civil Disobedience Movement","Swadeshi Movement","Non-Cooperation Movement","The Khilafat Movement was strategically merged with the Non-Cooperation Movement under the leadership of Mahatma Gandhi in 1920 to foster Hindu-Muslim unity.","Medium","Military History"
"How many principal organs constitute the United Nations Organization (UNO)?","Four","Five","Six","Seven","Six","The UNO consists of six principal organs: the General Assembly, the Security Council, the Economic and Social Council, the Trusteeship Council, the International Court of Justice, and the Secretariat.","Medium","International Relations"
"What is the designated name of the specialized commando unit of the Indian Air Force?","MARCOS","Garud Commando Force","Ghatak Force","Para Special Forces","Garud Commando Force","The Garud Commando Force is the special forces unit of the Indian Air Force. MARCOS belongs to the Navy, and Para SF/Ghatak belong to the Army.","Medium","Indian Armed Forces"
"Which naval base serves as the home port for the Indian Navy's aircraft carrier INS Vikramaditya?","INS Kadamba","INS Shikra","INS Sardar Patel","INS Dwarka","INS Kadamba","The aircraft carrier INS Vikramaditya is home-ported at INS Kadamba, a major naval base located in Karwar, Karnataka, under the Western Naval Command.","Hard","Indian Armed Forces"
"Which of the following historical forts was NOT built by Mughal Emperor Akbar?","Agra Fort","Lahore Fort","Allahabad Fort","Gwalior Fort","Gwalior Fort","The Gwalior Fort was primarily built by the Tomar dynasty (notably Man Singh Tomar), whereas the Agra, Lahore, and Allahabad forts were constructed by Emperor Akbar.","Hard","Military History"
"Which of the following accurately describes the Astra missile developed by the DRDO?","Surface-to-Air Missile","Air-to-Air Missile","Anti-Tank Guided Missile","Submarine-Launched Ballistic Missile","Air-to-Air Missile","Astra is an indigenously developed Beyond Visual Range (BVR) Air-to-Air Missile designed to be mounted on fighter aircraft like the Su-30 MKI.","Medium","Defence Technology"
"Which of the following locations is home to the Counter Insurgency and Jungle Warfare School of the Indian Army?","Dehradun","Mhow","Vairengte","Pune","Vairengte","The Counter Insurgency and Jungle Warfare School (CIJWS) is located in Vairengte, Mizoram. Dehradun hosts the IMA, Mhow hosts the Army War College, and Pune hosts the NDA.","Medium","Military Awareness"
"Which of the following paramilitary forces was established in 1962 specifically to monitor the Indo-China boundary?","National Security Guards (NSG)","Indo-Tibetan Border Police (ITBP)","Border Security Force (BSF)","Central Reserve Police Force (CRPF)","Indo-Tibetan Border Police (ITBP)","The Indo-Tibetan Border Police (ITBP) was established in 1962 after the Chinese attack, specifically to monitor the Indo-China boundary.","Medium","Defence Organizations"
"The joint military exercise 'Hand in Hand' is conducted between India and which of the following countries?","United States","Japan","China","Russia","China","Hand in Hand is a joint military exercise between India and China. Exercises with the US, Japan, and Russia are Yudh Abhyas, Dharma Guardian, and INDRA, respectively.","Medium","Defence Operations"
"Which of the following aircraft is the world's fastest missile ship commissioned by the Indian Navy in 1997?","INS Prahar","INS Tarkash","INS Kavaratti","INS Visakhapatnam","INS Prahar","INS Prahar is the world's fastest missile ship, commissioned into the Indian Navy in 1997.","Hard","Defence Technology"
"According to Megasthenes, the administration of the Mauryan Army was managed by a board of how many officers?","15 officers in 3 committees","20 officers in 4 committees","30 officers in 6 committees","40 officers in 8 committees","30 officers in 6 committees","According to Megasthenes, the administration of the Mauryan Army was carried out by a board of 30 officers divided into 6 committees covering Infantry, Cavalry, Elephants, Chariots, Navy, and Transport.","Hard","Military History"
"Who among the following Maratha leaders was given the title 'Sena Karte'?","Shivaji","Balaji Vishwanath","Baji Rao I","Balaji Baji Rao","Balaji Vishwanath","Balaji Vishwanath got the title of Sena Karte. Baji Rao I and Balaji Baji Rao were his successors in the Maratha Empire.","Hard","Military History"
"Which of the following rivers is the location of the Kakrapar Dam?","Narmada","Tapi","Sabarmati","Mahi","Tapi","The Kakrapar Dam is situated on the Tapi river in Gujarat.","Medium","Geography"
"Which of the following Indian states has the largest coverage of forests in terms of area?","Arunachal Pradesh","Chhattisgarh","Madhya Pradesh","Odisha","Madhya Pradesh","According to the Forest Report, the largest coverage of forest in India is in Madhya Pradesh, followed by Arunachal Pradesh and Chhattisgarh.","Easy","Geography"
"Which of the following radioactive materials is commonly used in radiotherapy for cancer treatment?","Uranium-235","Thorium-232","Cobalt-60","Caesium-137","Cobalt-60","The radioactive form of cobalt, Cobalt-60, has been used for radiotherapy cancer treatment as well as food irradiation.","Medium","Science"
"Which of the following organizations is headquartered in Rome, Italy?","World Health Organization (WHO)","Food and Agricultural Organization (FAO)","United Nations Industrial Development Organization (UNIDO)","Asian Development Bank (ADB)","Food and Agricultural Organization (FAO)","The Food and Agriculture Organization (FAO) is a specialized agency headquartered in Rome, Italy. WHO is in Geneva, UNIDO is in Vienna, and ADB is in Manila.","Medium","International Relations"
"Who among the following was the founder of the Brahmo Samaj?","Swami Vivekananda","Dayananda Saraswati","Raja Ram Mohan Roy","Ishwar Chandra Vidyasagar","Raja Ram Mohan Roy","Raja Ram Mohan Roy was the founder of the Brahmo Samaj, an influential socio-religious reform movement in India.","Easy","Military History"
"Which of the following passes connects Srinagar to Leh?","Banihal Pass","Zojila Pass","Shipki La Pass","Karakoram Pass","Zojila Pass","Zojila Pass in Jammu and Kashmir connects Srinagar to Leh. Banihal connects Jammu to Srinagar, and Shipki La connects Shimla to Gartok.","Hard","Geography"
"Which of the following is the longest river in Peninsular India?","Mahanadi","Godavari","Krishna","Cauvery","Godavari","The Godavari is the longest river in Peninsular India, whereas the Ganga is the longest river in India overall.","Medium","Geography"
"Which of the following is considered the hardest naturally occurring substance in the world?","Graphite","Lead","Diamond","Carbon","Diamond","Diamond is the hardest naturally occurring substance in the world, consisting of solid carbon atoms arranged in a crystal structure.","Easy","Science"
"The natural rubber is primarily a polymer of which of the following substances?","Isoprene","Teflon","Bakelite","Elastomer","Isoprene","Natural rubber, or polyisoprene, is an organic compound and a polymer of isoprene.","Hard","Science"
"Which of the following Indian personalities was the first to receive the individual Olympic Gold medal?","Milkha Singh","KD Jadhav","Karnam Malleswari","Abhinav Bindra","Abhinav Bindra","Abhinav Bindra is the first Indian to win an individual Olympic Gold medal, which he won in shooting.","Medium","Military Awareness"
"The 'Subroto Cup' is a prestigious international inter-school tournament associated with which sport?","Hockey","Football","Basketball","Badminton","Football","The Subroto Cup is associated with Football and is named after the Indian Air Force Air Marshal Subroto Mukherjee.","Medium","Military Awareness"
"Who was the first woman speaker of the Lok Sabha in India?","Sushma Swaraj","Sumitra Mahajan","Meira Kumar","Indira Gandhi","Meira Kumar","Meira Kumar was the first woman speaker of the Lok Sabha, serving from 2009 to 2014.","Easy","Military Awareness"
"The retirement age of a Judge of the Supreme Court of India is set at how many years?","60 years","62 years","64 years","65 years","65 years","According to the Constitution of India, the retirement age for a Judge of the Supreme Court is 65 years.","Easy","Military Awareness"
"Which article of the Indian Constitution deals with the establishment of Panchayati Raj?","Article 39","Article 40","Article 41","Article 42","Article 40","Article 40 of the Indian Constitution directs the State to organize village panchayats and endow them with necessary powers.","Hard","Military Awareness"
"Which of the following treaties/plans laid down the framework for the transfer of power to Indians and the partition of the country?","Cabinet Mission Plan","Cripps Mission","Simon Commission","Mountbatten Plan","Mountbatten Plan","The Mountbatten Plan, formally announced on 3rd June 1947, laid down the plan for the transfer of power and the partition of India.","Medium","Military History"
"Who authored the book 'A Better India: A Better World'?","Raghuram Rajan","NR Narayana Murthy","Aziz Premji","Nandan Nilekani","NR Narayana Murthy","The author of the book 'A Better India: A Better World' is NR Narayana Murthy, the co-founder of Infosys.","Hard","Military Awareness"
"The famous 'Hornbill Festival' is celebrated annually in which of the following Indian states?","Arunachal Pradesh","Manipur","Mizoram","Nagaland","Nagaland","The Hornbill festival, also known as the 'Festival of Festivals', is celebrated every year in Nagaland to revive and protect its rich culture.","Medium","Current Affairs"
"Which of the following elements is the most abundant in the Earth's crust?","Oxygen","Silicon","Aluminium","Iron","Oxygen","Oxygen is the most abundant element in the Earth's crust, making up almost half of its mass, followed by silicon.","Medium","Geography"
"Which of the following denotes the geographical boundary line dividing USA and Canada?","38th parallel line","17th parallel line","24th parallel line","49th parallel line","49th parallel line","The 49th parallel line forms the international border between the USA and Canada. The 38th parallel divides North and South Korea.","Hard","Geography"
"Which of the following diseases is primarily caused by the deficiency of Nicotinic acid (Vitamin B3)?","Anaemia","Pellagra","Dermatitis","Goitre","Pellagra","Pellagra is a disease caused by a lack of the vitamin niacin (nicotinic acid/Vitamin B3). Anaemia is associated with Vitamin B6/B12 deficiency.","Hard","Science"
"The 'Blue baby syndrome' is caused by the presence of excess quantities of which substance in drinking water?","Cadmium","Mercury","Nitrate","Silica","Nitrate","Blue baby syndrome is typically caused by high levels of nitrates in drinking water, which affects the blood's oxygen-carrying capacity.","Hard","Science"
"Which of the following forces is responsible for keeping a vigil over international borders against intrusion in India?","Indo-Tibetan Border Police (ITBP)","Border Security Force (BSF)","Central Reserve Police Force (CRPF)","Rapid Action Force (RAF)","Border Security Force (BSF)","The Border Security Force (BSF) was established in 1965 to keep vigil over the international borders against intrusion.","Medium","Defence Organizations"
"The joint naval exercise 'SLINEX' is conducted between India and which of the following nations?","Singapore","Sri Lanka","France","Oman","Sri Lanka","SLINEX is a joint naval exercise between India and Sri Lanka. SIMBEX is with Singapore, and VARUNA is with France.","Easy","Defence Operations"
"Which of the following correctly identifies the founder of the Tuluva dynasty?","Tuluva Narasa Nayaka","Narsimha Raya II","Virupaksha Raya II","Vira Narsimha","Tuluva Narasa Nayaka","The Tuluva dynasty was founded by Tuluva Narasa Nayaka, who played a key role in the Vijayanagara Empire.","Hard","Military History"
"Who among the following was the founder of the Swatantra Party in 1959?","Motilal Nehru","C Rajagopalachari","MG Ranade","Dadabhai Naoroji","C Rajagopalachari","The Swatantra Party was an Indian classical liberal political party founded by C Rajagopalachari in 1959.","Medium","Military History"
"The term 'Butterfly Stroke' is associated with which of the following sports?","Swimming","Boxing","Wrestling","Kabaddi","Swimming","The 'Butterfly Stroke' is a swimming technique swum on the chest, with both arms moving symmetrically.","Easy","Military Awareness"
"Which of the following cups/trophies is associated with the sport of Badminton?","Davis Cup","Ryder Cup","Uber Cup","Durand Cup","Uber Cup","The Uber Cup, sometimes called the World Team Championships for Women, is a major international badminton competition.","Medium","Military Awareness"
"Which British Governor-General introduced the 'Permanent Settlement' of land revenue in India?","Lord William Bentinck","Lord Cornwallis","Lord Curzon","Lord Wellesley","Lord Cornwallis","The Permanent Settlement was introduced by Lord Cornwallis in 1793, primarily in Bengal and Bihar, to fix the land revenue demand.","Medium","Military History"
"Who among the following was the first Nawab of Awadh?","Wazir Ali Khan","Muhammad Ali Shah","Siraj-ud-daulah","Saadat Khan","Saadat Khan","Saadat Khan (Burhan-ul-Mulk) was appointed the Subadar of Awadh in 1722 and became the first Nawab of Awadh.","Hard","Military History"
"The fundamental rights in the Indian Constitution are covered under which part?","Part I","Part II","Part III","Part IV","Part III","Part III of the Indian Constitution (Articles 12-35) deals extensively with the Fundamental Rights of the citizens.","Easy","Military Awareness"
"Which of the following bodies is considered an extra-constitutional body in India?","Election Commission","Finance Commission","Planning Commission","Union Public Service Commission","Planning Commission","The Planning Commission (now NITI Aayog) was established by an executive resolution, making it an extra-constitutional, non-statutory body.","Medium","Military Awareness"
"The 'Jallianwala Bagh Massacre' took place at Amritsar in which year?","1919","1920","1921","1930","1919","The Jallianwala Bagh massacre, also known as the Amritsar massacre, took place on 13 April 1919 when British troops fired on a peaceful crowd.","Easy","Military History"
"Which of the following leaders gave the famous slogan 'Delhi Chalo'?","Bal Gangadhar Tilak","Mahatma Gandhi","Jawaharlal Nehru","Subhash Chandra Bose","Subhash Chandra Bose","The famous battle cry 'Dilli Chalo' (On to Delhi) was given by Netaji Subhash Chandra Bose to the soldiers of the Azad Hind Fauj.","Easy","Military History"
"Who among the following discovered the first naturally occurring antibiotic, Penicillin?","Louis Pasteur","Edward Jenner","Alexander Fleming","Benjamin Franklin","Alexander Fleming","Alexander Fleming, a Scottish physician, discovered Penicillin in 1928, the first naturally occurring antibiotic drug.","Easy","Science"
"Where is the National Defence Academy (NDA) located?","Dehradun","Khadakwasla","New Delhi","Wellington","Khadakwasla","The National Defence Academy (NDA), a premier joint services training institution, is located in Khadakwasla, Pune.","Easy","Military Awareness"
"What is the equivalent rank of a General of the Indian Army in the Indian Navy?","Admiral","Vice Admiral","Rear Admiral","Commodore","Admiral","The rank of General in the Indian Army is equivalent to an Admiral in the Indian Navy and an Air Chief Marshal in the Indian Air Force.","Easy","Indian Armed Forces"
"Which of the following gases is responsible for the 'greenhouse effect' and global warming?","Hydrogen","Carbon dioxide","Neon","Sulphur dioxide","Carbon dioxide","Carbon dioxide is one of the primary greenhouse gases that trap heat in the atmosphere, leading to the greenhouse effect.","Easy","Science"
"Which of the following locations is the headquarters of the Food and Agriculture Organization (FAO)?","New York","Paris","Geneva","Rome","Rome","The Food and Agriculture Organization (FAO) of the United Nations is headquartered in Rome, Italy.","Medium","International Relations"
"The Khilafat Movement was started by the Ali brothers in which year?","1919","1920","1922","1930","1920","The Khilafat Movement was a pan-Islamic political protest campaign launched by Muslims of British India led by the Ali brothers in 1920.","Medium","Military History"
