id,source_file,category,subcategory,question_type,difficulty,question,option_a,option_b,option_c,option_d,correct_answer,explanation
NLM-241,The_Forge_Questions_221_300_CLEAN.csv,OIR Verbal,Blood Relation,MCQ,Hard,"A woman says, ""My mother's brother's son is standing there.""

That person is her:",Brother,Cousin,Nephew,Uncle,B,
NLM-243,The_Forge_Questions_221_300_CLEAN.csv,Military GK,Missiles,SingleWord,Medium,Nag is an Indian ________ missile.,,,,,Anti-tank,
NLM-245,The_Forge_Questions_221_300_CLEAN.csv,OIR Verbal,Classification,MCQ,Medium,Find odd one.,Courage,Bravery,Valour,Determination,D,
NLM-246,The_Forge_Questions_221_300_CLEAN.csv,Psychology,WAT,SingleWord,Medium,Word: Success,,,,,Success follows preparation and persistence.,
NLM-248,The_Forge_Questions_221_300_CLEAN.csv,Military GK,Ranks,MCQ,Medium,Which rank is junior to Major?,Captain,Colonel,Brigadier,Lieutenant Colonel,A,
NLM-249,The_Forge_Questions_221_300_CLEAN.csv,OIR Verbal,Statement & Conclusion,MCQ,Hard,"Statement:
The academy introduced advanced simulators.

Conclusions:
I. Training methods are being upgraded.
II. Previous training was useless.",Only I,Only II,Both,Neither,A,
NLM-251,The_Forge_Questions_221_300_CLEAN.csv,OIR Verbal,Number Series,MCQ,Hard,"3, 7, 15, 31, 63, ?",127,129,131,133,A,
NLM-254,The_Forge_Questions_221_300_CLEAN.csv,Military GK,Navy,SingleWord,Medium,INS Arihant is a nuclear-powered ________.,,,,,Submarine,
NLM-255,The_Forge_Questions_221_300_CLEAN.csv,OIR Non-Verbal,Embedded Figure,MCQ,Hard,Embedded figure tests primarily measure:,Memory,Observation,Perception,Concentration,B,
NLM-257,The_Forge_Questions_221_300_CLEAN.csv,Interview,CIQ,SingleWord,Medium,What does leadership mean to you?,,,,,Helping a group achieve objectives together.,
NLM-258,The_Forge_Questions_221_300_CLEAN.csv,OIR Verbal,Direction Sense,MCQ,Hard,"A person walks 4 km south, 3 km east. Distance from start?",4 km,5 km,6 km,7 km,B,
NLM-260,The_Forge_Questions_221_300_CLEAN.csv,Military GK,Aircraft,MCQ,Medium,Mi-17 is primarily a:,Fighter,Bomber,Helicopter,UAV,C,
NLM-261,The_Forge_Questions_221_300_CLEAN.csv,OIR Verbal,Analogy,MCQ,Hard,Compass : Direction :: Clock : ?,Distance,Time,Speed,Schedule,B,
NLM-264,The_Forge_Questions_221_300_CLEAN.csv,Military GK,Air Force,,Fill in the Blanks,The aerobatic display team of the Indian Air Force is called ________.,,,,,Surya Kiran,
NLM-265,The_Forge_Questions_221_300_CLEAN.csv,OIR Verbal,Coding-Decoding,,Hard,"If BOOK = CPPL, then ARMY = ?",,,,,A,
NLM-267,The_Forge_Questions_221_300_CLEAN.csv,Interview,Personal Interview,,,What should you do if you don't know an answer?,,,,,Admit honestly and attempt logical reasoning.,
NLM-268,The_Forge_Questions_221_300_CLEAN.csv,OIR Verbal,Ranking,,,"7th from top and 15th from bottom.

Total?",,,,,A,
NLM-269,The_Forge_Questions_221_300_CLEAN.csv,Psychology,Self Description,,,How would your parents describe you?,,,,,Responsible and dependable.,
NLM-270,The_Forge_Questions_221_300_CLEAN.csv,Military GK,Awards,,,PVC stands for ________.,,,,,Param Vir Chakra,
NLM-275,The_Forge_Questions_221_300_CLEAN.csv,Military GK,Missile,,,Prithvi belongs to which category?,,,,,Surface-to-Surface Missile,
NLM-278,The_Forge_Questions_221_300_CLEAN.csv,Interview,CIQ,,,What inspires you most?,,,,,Meaningful responsibility.,
NLM-279,The_Forge_Questions_221_300_CLEAN.csv,OIR Verbal,Number Series,,,"10, 20, 40, 80, ?",,,,,C,
NLM-280,The_Forge_Questions_221_300_CLEAN.csv,Military GK,Aircraft,,,LCA stands for?,,,,,Light Combat Aircraft,
NLM-282,The_Forge_Questions_221_300_CLEAN.csv,OIR Verbal,Blood Relation,,,Father's sister is:,,,,,Aunt,
NLM-285,The_Forge_Questions_221_300_CLEAN.csv,Military GK,Navy,,,INS stands for?,,,,,Indian Naval Ship,
NLM-287,The_Forge_Questions_221_300_CLEAN.csv,Interview,Officer Response,,,Criticism should be:,,,,,Accepted positively and analyzed.,
NLM-288,The_Forge_Questions_221_300_CLEAN.csv,OIR Verbal,Analogy,,,Teacher : School :: Officer : ?,,,,,A,
NLM-290,The_Forge_Questions_221_300_CLEAN.csv,Military GK,Army,,,The regiment is primarily a ________ formation.,,,,,Military,
NLM-293,The_Forge_Questions_221_300_CLEAN.csv,OIR Verbal,Direction Sense,,,"Face North, turn right, then right.

Direction?",,,,,South,
NLM-294,The_Forge_Questions_221_300_CLEAN.csv,Psychology,Self Description,,,What is your greatest strength?,,,,,Consistency in effort.,
NLM-295,The_Forge_Questions_221_300_CLEAN.csv,Military GK,Defence,,,First line of national defence is the ________.,,,,,Armed Forces,
NLM-297,The_Forge_Questions_221_300_CLEAN.csv,OIR Verbal,Classification,,,"Find odd one.

Jet, Helicopter, Tank, Glider",,,,,Tank,
NLM-298,The_Forge_Questions_221_300_CLEAN.csv,Interview,PIQ,,,What extracurricular activity taught you leadership?,,,,,Any activity involving team coordination and responsibility.,
NLM-300,The_Forge_Questions_221_300_CLEAN.csv,OLQ,Overall Officer Potential,Subjective,Hard,"Which quality best integrates leadership, responsibility, courage and initiative?",,,,,C,OLQs collectively determine officer potential and suitability for leadership roles.
OBJ-001,Forge_Objective_Content_Cleaned.csv,Indian Constitution,,MCQ,Easy,Who is the Supreme Commander of the Indian Armed Forces?,The President of India.,The Prime Minister of India.,The Chief of Defence Staff.,The Defence Minister of India.,A,
OBJ-002,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Easy,What is the motto of the Indian Army?,Shatrujeet (Vanquisher of Enemies).,Service before self.,"Nation First, Always First.",Touch the sky with glory.,B,
OBJ-003,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Easy,When is Army Day celebrated in India?,15th August.,26th January.,15th January.,1st December.,C,
OBJ-004,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,What is the highest honorary rank in the Indian Army?,Major General,General,Lieutenant General,Field Marshal.,D,
OBJ-005,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,What is the highest honorary rank in the Indian Navy?,Admiral of the Fleet.,Admiral,Vice Admiral,Rear Admiral,A,
OBJ-006,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,What is the highest honorary rank in the Indian Air Force?,Air Chief Marshal,Marshal of the Air Force.,Air Marshal,Air Vice Marshal,B,
OBJ-007,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Easy,What is the highest commissioned rank in the Indian Army?,Lieutenant General,Field Marshal,General.,Major General,C,
OBJ-008,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Easy,What is the highest commissioned rank in the Indian Navy?,Rear Admiral,Admiral of the Fleet,Vice Admiral,Admiral.,D,
OBJ-009,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Easy,What is the highest commissioned rank in the Indian Air Force?,Air Chief Marshal.,Marshal of the Air Force,Air Marshal,Air Vice Marshal,A,
OBJ-010,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,What is the Naval equivalent of an Army Lieutenant?,Admiral of the Fleet,Sub-Lieutenant.,Admiral,Vice Admiral,B,
OBJ-011,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,What is the Air Force equivalent of an Army Lieutenant?,Air Chief Marshal,Marshal of the Air Force,Flying Officer.,Air Marshal,C,
OBJ-012,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,What is the Air Force equivalent of a Naval Lieutenant?,Air Marshal,Marshal of the Air Force,Air Chief Marshal,Flight Lieutenant.,D,
OBJ-013,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,What is the Naval equivalent of an Air Force Squadron Leader?,Lieutenant Commander.,Admiral of the Fleet,Admiral,Vice Admiral,A,
OBJ-014,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,What is the Army equivalent of a Naval Commander?,Field Marshal,Lieutenant Colonel.,General,Lieutenant General,B,
OBJ-015,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,What is the Naval equivalent of an Air Force Group Captain?,Admiral,Admiral of the Fleet,Captain.,Vice Admiral,C,
OBJ-016,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,What is the Air Force equivalent of an Army Brigadier?,Air Marshal,Marshal of the Air Force,Air Chief Marshal,Air Commodore.,D,
OBJ-017,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,What is the Army equivalent of a Naval Commodore?,Brigadier.,Field Marshal,General,Lieutenant General,A,
OBJ-018,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,What is the Naval equivalent of an Army Major General?,Admiral of the Fleet,Rear Admiral.,Admiral,Vice Admiral,B,
OBJ-019,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,What is the Air Force equivalent of a Naval Rear Admiral?,Air Chief Marshal,Marshal of the Air Force,Air Vice Marshal.,Air Marshal,C,
OBJ-020,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,What is the Naval equivalent of an Army Lieutenant General?,Rear Admiral,Admiral of the Fleet,Admiral,Vice Admiral.,D,
OBJ-021,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,What is the Air Force equivalent of an Army Lieutenant General?,Air Marshal.,Marshal of the Air Force,Air Chief Marshal,Air Vice Marshal,A,
OBJ-022,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,What is the highest Junior Commissioned Officer rank in the Indian Army?,Subedar or Risaldar,Subedar Major or Risaldar Major.,Naib Subedar or Naib Risaldar,Honorary Captain,B,
OBJ-023,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,What is the middle Junior Commissioned Officer rank in the Indian Army?,Naib Subedar or Naib Risaldar,Subedar Major or Risaldar Major,Subedar or Risaldar.,Honorary Captain,C,
OBJ-024,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,What is the lowest Junior Commissioned Officer rank in the Indian Army?,Honorary Captain,Subedar Major or Risaldar Major,Subedar or Risaldar,Naib Subedar or Naib Risaldar.,D,
OBJ-025,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,How many operational commands are there in the Indian Army?,Six operational commands.,Five operational commands.,Seven operational commands.,Four operational commands.,A,
OBJ-026,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,Where is the Central Command of the Indian Army headquartered?,"Udhampur, Jammu and Kashmir","Lucknow, Uttar Pradesh.",Chandimandir,"Pune, Maharashtra",B,
OBJ-027,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,Where is the Eastern Command of the Indian Army headquartered?,Chandimandir,"Udhampur, Jammu and Kashmir","Kolkata, West Bengal.","Pune, Maharashtra",C,
OBJ-028,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,Where is the Northern Command of the Indian Army headquartered?,"Kolkata, West Bengal",Chandimandir,"Pune, Maharashtra","Udhampur, Jammu and Kashmir.",D,
OBJ-029,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,Where is the Southern Command of the Indian Army headquartered?,"Pune, Maharashtra.","Udhampur, Jammu and Kashmir",Chandimandir,"Kolkata, West Bengal",A,
OBJ-030,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,Where is the South Western Command of the Indian Army headquartered?,"Udhampur, Jammu and Kashmir","Jaipur, Rajasthan.",Chandimandir,"Pune, Maharashtra",B,
OBJ-031,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,Where is the Western Command of the Indian Army headquartered?,"Pune, Maharashtra","Udhampur, Jammu and Kashmir",Chandimandir.,"Kolkata, West Bengal",C,
OBJ-032,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,What is the motto of the Indian Navy?,Touch the sky with glory (Nabha Sparsham Deeptam).,"Nation First, Always First.",Service before self.,Shano Varuna (May the Lord of the Oceans be auspicious unto us).,D,
OBJ-033,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,How many operational commands does the Indian Navy operate?,Three operational commands.,Four operational commands.,Two operational commands.,Five operational commands.,A,
OBJ-034,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Easy,Where is the Western Naval Command headquartered?,"Visakhapatnam, Andhra Pradesh","Mumbai, Maharashtra.","Kochi, Kerala",Port Blair,B,
OBJ-035,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Easy,Where is the Eastern Naval Command headquartered?,"Kochi, Kerala","Mumbai, Maharashtra","Visakhapatnam, Andhra Pradesh.",Port Blair,C,
OBJ-036,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Easy,Where is the Southern Naval Command headquartered?,Port Blair,"Mumbai, Maharashtra","Visakhapatnam, Andhra Pradesh","Kochi, Kerala.",D,
OBJ-037,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,Which is the joint command of the Indian Armed Forces?,The Andaman and Nicobar Command.,The Strategic Forces Command.,The Southern Naval Command.,The Central Air Command.,A,
OBJ-038,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,Where is the Andaman and Nicobar Command headquartered?,"Mumbai, Maharashtra",Port Blair.,"Visakhapatnam, Andhra Pradesh","Kochi, Kerala",B,
OBJ-039,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Hard,Who heads the Andaman and Nicobar Command?,The Chief of Army Staff.,The Chief of Naval Staff.,The Chief of Integrated Service Command (CISC).,The Vice Chief of Defence Staff.,C,
OBJ-040,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Easy,What does INS stand for in the Indian Navy?,Indian Naval Squadron.,Indian Navy Ship.,Indian National Ship.,Indian Naval Ship.,D,
OBJ-041,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,When was the Indian Air Force established?,8 October 1932.,1 April 1933.,26 October 1932.,1 January 1947.,A,
OBJ-042,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,What is the motto of the Indian Air Force?,Shatrujeet (Vanquisher of Enemies).,Touch the sky with glory (Nabha Sparsham Deeptam).,Service before self.,Shano Varuna.,B,
OBJ-043,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,Where is the Central Air Command headquartered?,"Shillong, Meghalaya",New Delhi,"Allahabad, Uttar Pradesh.","Thiruvananthapuram, Kerala",C,
OBJ-044,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,Where is the Eastern Air Command headquartered?,"Thiruvananthapuram, Kerala",New Delhi,"Allahabad, Uttar Pradesh","Shillong, Meghalaya.",D,
OBJ-045,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,Where is the Southern Air Command headquartered?,"Thiruvananthapuram, Kerala.",New Delhi,"Shillong, Meghalaya","Allahabad, Uttar Pradesh",A,
OBJ-046,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,Where is the South Western Air Command headquartered?,New Delhi,"Gandhinagar, Gujarat.","Shillong, Meghalaya","Allahabad, Uttar Pradesh",B,
OBJ-047,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,Where is the Western Air Command headquartered?,"Allahabad, Uttar Pradesh","Shillong, Meghalaya",New Delhi.,"Thiruvananthapuram, Kerala",C,
OBJ-048,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,Where is the Training Command of the IAF headquartered?,"Allahabad, Uttar Pradesh",New Delhi,"Shillong, Meghalaya",Bengaluru.,D,
OBJ-049,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,Where is the Maintenance Command of the IAF headquartered?,Nagpur.,New Delhi,"Shillong, Meghalaya","Allahabad, Uttar Pradesh",A,
OBJ-050,Forge_Objective_Content_Cleaned.csv,General Awareness,,MCQ,Easy,Where is the Indian Military Academy located?,"Khadakwasla, Pune","Dehradun, Uttarakhand.","Ezhimala, Kerala","Dundigal, Hyderabad",B,
OBJ-051,Forge_Objective_Content_Cleaned.csv,General Awareness,,MCQ,Medium,Where is the Officers Training Academy for Short Service Commission located?,"Dehradun, Uttarakhand","Khadakwasla, Pune","Chennai, Tamil Nadu.","Ezhimala, Kerala",C,
OBJ-052,Forge_Objective_Content_Cleaned.csv,General Awareness,,MCQ,Hard,Where is the Officers Training Academy for TES and SCO courses located?,"Ezhimala, Kerala","Khadakwasla, Pune","Dehradun, Uttarakhand","Gaya, Bihar.",D,
OBJ-053,Forge_Objective_Content_Cleaned.csv,General Awareness,,MCQ,Easy,Where is the National Defence Academy located?,"Khadakwasla, Pune.","Dehradun, Uttarakhand","Ezhimala, Kerala","Dundigal, Hyderabad",A,
OBJ-054,Forge_Objective_Content_Cleaned.csv,General Awareness,,MCQ,Easy,Where is the Indian Naval Academy located?,"Khadakwasla, Pune","Ezhimala, Kerala.","Dehradun, Uttarakhand","Dundigal, Hyderabad",B,
OBJ-055,Forge_Objective_Content_Cleaned.csv,General Awareness,,MCQ,Easy,Where is the Air Force Academy located?,"Dehradun, Uttarakhand","Khadakwasla, Pune","Dundigal, Hyderabad.","Ezhimala, Kerala",C,
OBJ-056,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,What is the primary role of the Corps of Signals?,Conducting reconnaissance and surveillance using UAVs.,Providing forward air control and close air support to ground troops.,Managing logistics and supply chain for frontline units.,"Handling communications, information technology, electronic warfare, and cyber operations.",D,
OBJ-057,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Hard,Which branch of the Indian Army is known as the Cyber Warriors?,The Corps of Signals.,The Corps of Engineers.,The Army Aviation Corps.,The Corps of Military Police.,A,
OBJ-058,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,What is the primary role of the Army Aviation Corps?,Transporting troops and supplies across difficult terrain.,Providing attack helicopters as the manoeuvre arm against enemy mechanised columns.,Handling encrypted communications between field units.,Conducting airborne assault and paratrooper operations.,B,
OBJ-059,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,What is the primary responsibility of the Army Medical Corps?,Providing logistics support for artillery units.,Constructing and maintaining forward defensive fortifications.,"Managing operations casualties, health, and hygiene of the field force.",Training officer cadets in battlefield tactics.,C,
OBJ-060,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,What is the primary role of the Corps of Military Police?,Managing supply depots for forward units.,Providing artillery fire support to infantry units.,Conducting electronic surveillance of enemy communications.,Regulating the movement of combat forces and ensuring military discipline.,D,
OBJ-061,Forge_Objective_Content_Cleaned.csv,Defence Awareness,,MCQ,Easy,What is the highest peacetime gallantry award in India?,Ashok Chakra.,Param Vir Chakra,Maha Vir Chakra,Kirti Chakra,A,
OBJ-062,Forge_Objective_Content_Cleaned.csv,Defence Awareness,,MCQ,Easy,What is the highest wartime gallantry award in India?,Ashok Chakra,Param Vir Chakra.,Maha Vir Chakra,Kirti Chakra,B,
OBJ-063,Forge_Objective_Content_Cleaned.csv,Military Awareness,,MCQ,Medium,Who was the first recipient of the Param Vir Chakra?,Company Havildar Major Piru Singh.,Naik Jadunath Singh.,Major Somnath Sharma.,Second Lieutenant Rama Raghoba Rane.,C,
OBJ-064,Forge_Objective_Content_Cleaned.csv,Military Awareness,,MCQ,Hard,What was Operation Meghdoot?,A 1988 operation to protect the Maldivian government.,A 1971 operation to liberate East Pakistan.,A 1999 operation to evict infiltrators from Kargil.,A 1984 Indian Armed Forces operation to capture the Siachen Glacier.,D,
OBJ-065,Forge_Objective_Content_Cleaned.csv,Military Awareness,,MCQ,Hard,What was Operation Cactus?,A 1988 Indian military operation to thwart a mercenary invasion in the Maldives.,A 1984 operation to capture the Siachen Glacier.,A 1971 naval strike on Karachi harbour.,A 2006 evacuation of Indian citizens from Lebanon.,A,
OBJ-066,Forge_Objective_Content_Cleaned.csv,Military Awareness,,MCQ,Hard,What was Operation Pawan?,A 1988 mission to counter a coup attempt in the Maldives.,A 1987 operation by the Indian Peace Keeping Force in Sri Lanka.,A 1999 air campaign during the Kargil conflict.,A 1984 mission to secure the Siachen Glacier.,B,
OBJ-067,Forge_Objective_Content_Cleaned.csv,Military Awareness,,MCQ,Hard,What was Operation Safed Sagar?,The 1965 IAF campaign in the Indo-Pakistani War.,The 1971 IAF campaign in the Indo-Pakistani War.,The 1999 Indian Air Force strike operation during the Kargil conflict.,The IAF's 1962 operations in the Sino-Indian War.,C,
OBJ-068,Forge_Objective_Content_Cleaned.csv,Military Awareness,,MCQ,Medium,What was Operation Vijay?,The codename for the 1971 Indo-Pak War.,The codename for Operation Meghdoot.,The codename for the 1965 Indo-Pak War.,The codename for the 1999 Kargil War.,D,
OBJ-069,Forge_Objective_Content_Cleaned.csv,Military Awareness,,MCQ,Hard,What was Operation Sukoon?,A 2006 Indian Navy operation to evacuate citizens from war-torn Lebanon.,A 1988 operation to evacuate nationals from the Maldives.,A 1999 operation to rescue stranded climbers in Kargil.,A 1984 humanitarian mission in Sri Lanka.,A,
OBJ-070,Forge_Objective_Content_Cleaned.csv,Defence Technology,,MCQ,Easy,What is the Arjun MBT Mk1?,A Soviet-origin main battle tank used by the Indian Army.,The primary main battle tank of the Indian Army.,A joint India-Russia infantry fighting vehicle.,An indigenously developed self-propelled howitzer.,B,
OBJ-071,Forge_Objective_Content_Cleaned.csv,Defence Technology,,MCQ,Medium,What is the origin of the T-90 Bhishma tank?,Soviet Union.,Indigenously designed and built in India.,It is a joint venture between India and Russia.,A joint venture between India and France.,C,
OBJ-072,Forge_Objective_Content_Cleaned.csv,Defence Technology,,MCQ,Medium,What is the origin of the T-72M1 Ajeya tank?,United Kingdom.,India.,A joint venture between India and Russia.,Soviet Union.,D,
OBJ-073,Forge_Objective_Content_Cleaned.csv,Defence Technology,,MCQ,Medium,What is the origin of the T-55 battle tank?,Soviet Union.,India.,A joint venture between India and Russia.,United States.,A,
OBJ-074,Forge_Objective_Content_Cleaned.csv,Defence Technology,,MCQ,Medium,What is the origin of the BMP-2 Sarath?,India.,Soviet Union.,A joint venture between India and Israel.,United Kingdom.,B,
OBJ-075,Forge_Objective_Content_Cleaned.csv,Defence Technology,,MCQ,Hard,What is the BRDM-2?,A US-origin armoured personnel carrier.,An indigenously developed light tank of Indian origin.,An amphibious armoured reconnaissance vehicle of Soviet origin.,A French-origin reconnaissance vehicle.,C,
OBJ-076,Forge_Objective_Content_Cleaned.csv,Defence Technology,,MCQ,Medium,What is the FH77/B Howitzer commonly known as?,Dhanush.,Pinaka.,Smerch.,Bofors.,D,
OBJ-077,Forge_Objective_Content_Cleaned.csv,Defence Technology,,MCQ,Hard,What is Smerch?,A multiple rocket launcher system of Russian origin used by India.,An Israeli-origin loitering munition used by India.,An indigenously developed multi-barrel rocket launcher.,A French-origin self-propelled howitzer.,A,
OBJ-078,Forge_Objective_Content_Cleaned.csv,International Relations,,MCQ,Easy,Which two countries collaborated to create the BrahMos missile?,India and Israel.,India and Russia.,India and France.,India and the United States.,B,
OBJ-079,Forge_Objective_Content_Cleaned.csv,Defence Technology,,MCQ,Easy,What type of missile is BrahMos?,A short-range ballistic missile.,A subsonic anti-ship cruise missile.,A supersonic ramjet cruise missile.,An intercontinental ballistic missile.,C,
OBJ-080,Forge_Objective_Content_Cleaned.csv,Defence Technology,,MCQ,Medium,What is the range of the Agni-I ballistic missile?,"5,000 to 8,000 kilometers.",150 to 250 kilometers.,"2,000 to 3,500 kilometers.",700 to 800 kilometers.,D,
OBJ-081,Forge_Objective_Content_Cleaned.csv,Defence Technology,,MCQ,Medium,What is the range of the Agni-II ballistic missile?,"2,000 to 3,500 kilometers.",700 to 800 kilometers.,"3,500 to 5,000 kilometers.","5,000 to 8,000 kilometers.",A,
OBJ-082,Forge_Objective_Content_Cleaned.csv,Defence Technology,,MCQ,Medium,What is the range of the Agni-III ballistic missile?,"2,000 to 3,500 kilometers.","3,500 to 5,000 kilometers.","5,000 to 8,000 kilometers.",700 to 800 kilometers.,B,
OBJ-083,Forge_Objective_Content_Cleaned.csv,Defence Technology,,MCQ,Medium,What type of missile is Akash?,A submarine-launched ballistic missile.,An anti-tank guided missile developed by India.,A surface-to-air missile developed by India.,A supersonic cruise missile jointly developed with Russia.,C,
OBJ-084,Forge_Objective_Content_Cleaned.csv,Defence Technology,,MCQ,Medium,What type of missile is Trishul?,An anti-tank guided missile.,A medium-range surface-to-air missile.,A submarine-launched cruise missile.,A short-range surface-to-air missile developed by India.,D,
OBJ-085,Forge_Objective_Content_Cleaned.csv,Defence Technology,,MCQ,Hard,What is the Prithvi Air Defence (PAD)?,An anti-ballistic missile system for outside the atmosphere interception.,An endo-atmospheric interceptor missile system.,A short-range surface-to-air missile.,A submarine-launched ballistic missile.,A,
OBJ-086,Forge_Objective_Content_Cleaned.csv,Defence Technology,,MCQ,Hard,What is the Advanced Air Defence (AAD)?,An exo-atmospheric interceptor missile for outside the atmosphere.,An anti-ballistic missile system for endo-atmospheric interception.,A short-range tactical ballistic missile.,A man-portable air-defence system.,B,
OBJ-087,Forge_Objective_Content_Cleaned.csv,Defence Technology,,MCQ,Easy,What is the Tejas?,An unmanned combat aerial vehicle.,A twin-engine heavy multirole fighter jet.,An indigenously developed multi-role light combat aircraft.,A turboprop advanced jet trainer.,C,
