id,source_file,category,subcategory,question_type,difficulty,question,option_a,option_b,option_c,option_d,correct_answer,explanation
S2-NUM-026,Forge_Session2_Generated.csv,General Knowledge,Constitution,Numeric,Medium,How many fundamental rights are guaranteed by the Indian Constitution?,,,,,6,"The Constitution originally guaranteed seven; the Right to Property was later removed, leaving six."
S2-NUM-027,Forge_Session2_Generated.csv,General Knowledge,National Symbols,Numeric,Easy,How many spokes does the Ashoka Chakra on the Indian flag have?,,,,,24,"The wheel has 24 spokes, symbolising the eternal wheel of law."
S2-NUM-028,Forge_Session2_Generated.csv,Psychology,OLQ Assessment,Numeric,Medium,How many Officer Like Qualities are typically assessed during the SSB process?,,,,,15,SSB assessors evaluate fifteen distinct qualities across the multi-day process.
S2-NUM-029,Forge_Session2_Generated.csv,Officer Like Qualities,SSB Process,Numeric,Medium,Over how many days does a typical SSB selection process usually run?,,,,,5,"The standard SSB process typically spans five days, including screening, testing, and interviews."
S2-NUM-030,Forge_Session2_Generated.csv,Defence Awareness,Gallantry Awards,Numeric,Hard,Approximately how many Param Vir Chakras have been awarded since India's independence?,,,,,21,India's highest gallantry award has been conferred around 21 times since 1947.
S2-TF-001,Forge_Session2_Generated.csv,Indian Armed Forces,Ranks,TrueFalse,Easy,Field Marshal is the highest rank in the Indian Army.,,,,,TRUE,"It is a five-star rank, conferred only twice in Indian history."
S2-TF-002,Forge_Session2_Generated.csv,Indian Armed Forces,Navy,TrueFalse,Medium,INS Vikrant is India's first indigenously built aircraft carrier.,,,,,TRUE,"Commissioned in 2022, it was built at Cochin Shipyard Limited."
S2-TF-003,Forge_Session2_Generated.csv,Indian Armed Forces,Air Force,TrueFalse,Medium,"The Tejas fighter jet is manufactured by DRDO alone, with no involvement from HAL.",,,,,FALSE,"HAL manufactures the Tejas, though DRDO and other agencies were involved in its design."
S2-TF-004,Forge_Session2_Generated.csv,Indian Armed Forces,Structure,TrueFalse,Medium,The Indian Army has five operational commands.,,,,,FALSE,"The Indian Army has six operational commands and one training command, making seven in total."
S2-TF-005,Forge_Session2_Generated.csv,Indian Armed Forces,Structure,TrueFalse,Easy,The Indian Coast Guard is part of the Indian Navy.,,,,,FALSE,The Coast Guard is a distinct organisation operating under the Ministry of Defence.
S2-TF-006,Forge_Session2_Generated.csv,Military History,Wars,TrueFalse,Medium,The 1965 Indo-Pak War began after Pakistan launched Operation Gibraltar.,,,,,TRUE,"Operation Gibraltar aimed to infiltrate forces into Kashmir, triggering the war."
S2-TF-007,Forge_Session2_Generated.csv,Military History,Wars,TrueFalse,Medium,The 1971 war lasted for more than two months on the eastern front.,,,,,FALSE,The eastern front campaign concluded in just 13 days.
S2-TF-008,Forge_Session2_Generated.csv,Military History,Operations,TrueFalse,Medium,Operation Cactus in 1988 involved Indian forces intervening in Sri Lanka.,,,,,FALSE,Operation Cactus involved intervention in the Maldives to foil a coup attempt.
S2-TF-009,Forge_Session2_Generated.csv,Military History,Awards,TrueFalse,Medium,Captain Vikram Batra was awarded the Param Vir Chakra posthumously for his actions during the Kargil War.,,,,,TRUE,He led the recapture of key peaks including Point 5140 before being killed in action.
S2-TF-010,Forge_Session2_Generated.csv,Defence Awareness,Organisations,TrueFalse,Medium,DRDO stands for Defence Research and Development Organisation.,,,,,TRUE,DRDO is India's primary body for indigenous defence technology development.
S2-TF-011,Forge_Session2_Generated.csv,Defence Awareness,Gallantry Awards,TrueFalse,Medium,The Ashok Chakra is India's highest wartime gallantry award.,,,,,FALSE,The Ashok Chakra is the highest peacetime award; the Param Vir Chakra is the highest wartime award.
S2-TF-012,Forge_Session2_Generated.csv,Defence Awareness,Missiles,TrueFalse,Medium,BrahMos is a subsonic cruise missile.,,,,,FALSE,"BrahMos is a supersonic cruise missile, travelling nearly three times the speed of sound."
S2-TF-013,Forge_Session2_Generated.csv,Defence Awareness,Missiles,TrueFalse,Medium,Agni-V is classified as an intercontinental ballistic missile.,,,,,TRUE,"Agni-V has a range exceeding 5,000 km."
S2-TF-014,Forge_Session2_Generated.csv,Geography,States,TrueFalse,Easy,India shares a land border with Sri Lanka.,,,,,FALSE,India does not share a land border with Sri Lanka; it is separated by the Palk Strait.
S2-TF-015,Forge_Session2_Generated.csv,Geography,Borders,TrueFalse,Medium,India shares a land border with Afghanistan.,,,,,TRUE,India shares a small land border with Afghanistan in the Pakistan-occupied Kashmir region.
S2-TF-016,Forge_Session2_Generated.csv,Geography,Mountains,TrueFalse,Easy,Mount Everest is located within India's territory.,,,,,FALSE,Mount Everest is located on the border of Nepal and China (Tibet).
S2-TF-017,Forge_Session2_Generated.csv,Geography,Rivers,TrueFalse,Medium,The Brahmaputra river flows through Assam.,,,,,TRUE,The Brahmaputra is a major river flowing through the state of Assam.
S2-TF-018,Forge_Session2_Generated.csv,General Knowledge,Constitution,TrueFalse,Medium,The Indian Constitution was adopted on 26 January 1950.,,,,,FALSE,It was adopted by the Constituent Assembly on 26 November 1949 and came into effect on 26 January 1950.
S2-TF-019,Forge_Session2_Generated.csv,General Knowledge,National Symbols,TrueFalse,Easy,The national emblem of India is derived from the Lion Capital of Ashoka at Sarnath.,,,,,TRUE,"The emblem was adopted in 1950, based on the ancient sculpture."
S2-TF-020,Forge_Session2_Generated.csv,Psychology,OLQ Assessment,TrueFalse,Medium,The SSB process assesses candidates using only a written examination.,,,,,FALSE,"SSB uses psychological tests, group tasks, and interviews rather than written exams alone."
S2-TF-021,Forge_Session2_Generated.csv,Officer Like Qualities,OLQ Terms,TrueFalse,Medium,Initiative refers to the willingness to take action without being explicitly told.,,,,,TRUE,Initiative is a core Officer Like Quality assessed throughout the SSB process.
S2-TF-022,Forge_Session2_Generated.csv,Officer Like Qualities,OLQ Terms,TrueFalse,Medium,Social adaptability refers to physical fitness levels of a candidate.,,,,,FALSE,"Social adaptability refers to the ability to adjust to new people and environments, not physical fitness."
S2-TF-023,Forge_Session2_Generated.csv,Logical Thinking,Reasoning,TrueFalse,Medium,"In the series 5, 10, 20, 40, the next number would be 60.",,,,,FALSE,"The series doubles each time, so the next number would be 80."
S2-TF-024,Forge_Session2_Generated.csv,Logical Thinking,Reasoning,TrueFalse,Easy,All squares are rectangles.,,,,,TRUE,A square meets all the properties required to be classified as a rectangle.
S2-TF-025,Forge_Session2_Generated.csv,Basic Mathematics,Arithmetic,TrueFalse,Easy,The square root of 81 is 9.,,,,,TRUE,9 multiplied by itself equals 81.
S2-TF-026,Forge_Session2_Generated.csv,Basic Mathematics,Arithmetic,TrueFalse,Medium,50% of 150 is greater than 25% of 400.,,,,,FALSE,"50% of 150 is 75, while 25% of 400 is 100, so it is not greater."
S2-TF-027,Forge_Session2_Generated.csv,Observation,General Awareness,TrueFalse,Easy,A hexagon has six sides.,,,,,TRUE,A hexagon is defined as a six-sided polygon.
S2-TF-028,Forge_Session2_Generated.csv,Current Affairs,Government Schemes,TrueFalse,Medium,UDAN is a scheme aimed at improving regional air connectivity in India.,,,,,TRUE,UDAN stands for 'Ude Desh ka Aam Naagrik' and promotes affordable regional air travel.
S2-TF-029,Forge_Session2_Generated.csv,Current Affairs,Space,TrueFalse,Medium,India's Mangalyaan mission successfully placed a spacecraft in Mars orbit on its first attempt.,,,,,TRUE,"India became the first country to reach Mars orbit successfully on its first attempt, in 2014."
S2-TF-030,Forge_Session2_Generated.csv,Indian Armed Forces,Academies,TrueFalse,Medium,"The National Defence Academy trains cadets from the Army, Navy, and Air Force together.",,,,,TRUE,NDA provides joint tri-service training before cadets move to service-specific academies.
S2-RR-001,Forge_Session2_Generated.csv,Indian Armed Forces,Quick Recall,RapidResponse,Easy,"Name the tri-service academy where Army, Navy, and Air Force cadets train together.",,,,,National Defence Academy,NDA trains cadets from all three services jointly before further specialised training.
S2-RR-002,Forge_Session2_Generated.csv,Indian Armed Forces,Quick Recall,RapidResponse,Easy,Name India's first indigenously built aircraft carrier.,,,,,INS Vikrant,"Commissioned in 2022, built at Cochin Shipyard Limited."
S2-RR-003,Forge_Session2_Generated.csv,Indian Armed Forces,Quick Recall,RapidResponse,Easy,Name the body that conducts psychological and interview-based officer selection.,,,,,SSB,Services Selection Board conducts the multi-day officer selection process.
S2-RR-004,Forge_Session2_Generated.csv,Indian Armed Forces,Quick Recall,RapidResponse,Medium,Name the Indian Navy's special forces marine commando unit.,,,,,MARCOS,Specialises in amphibious and maritime special operations.
S2-RR-005,Forge_Session2_Generated.csv,Indian Armed Forces,Quick Recall,RapidResponse,Medium,Name the Indian Air Force's aerobatic display team flying Hawk jets.,,,,,Surya Kiran,Performs precision formation flying displays at air shows.
S2-RR-006,Forge_Session2_Generated.csv,Defence Awareness,Quick Recall,RapidResponse,Easy,Name India's highest wartime gallantry award.,,,,,Param Vir Chakra,India's highest military honour for valour in the presence of the enemy.
S2-RR-007,Forge_Session2_Generated.csv,Defence Awareness,Quick Recall,RapidResponse,Medium,Name India's primary indigenous supersonic cruise missile.,,,,,BrahMos,"A joint India-Russia development, among the fastest cruise missiles in the world."
S2-RR-008,Forge_Session2_Generated.csv,Defence Awareness,Quick Recall,RapidResponse,Medium,Name the operation that secured the Siachen Glacier for India in 1984.,,,,,Operation Meghdoot,India occupied key passes ahead of a suspected rival move.
S2-RR-009,Forge_Session2_Generated.csv,Military History,Quick Recall,RapidResponse,Easy,Name the war fought between India and Pakistan in 1999.,,,,,Kargil War,Fought in the high-altitude Kargil sector of Jammu and Kashmir.
S2-RR-010,Forge_Session2_Generated.csv,Military History,Quick Recall,RapidResponse,Medium,Name the war that led to the creation of Bangladesh.,,,,,1971 War,India's decisive victory led to the liberation of East Pakistan.
S2-RR-011,Forge_Session2_Generated.csv,Military History,Quick Recall,RapidResponse,Medium,Name the first recipient of the Param Vir Chakra.,,,,,Major Somnath Sharma,Honoured posthumously for his defence of Badgam in 1947.
S2-RR-012,Forge_Session2_Generated.csv,Geography,Quick Recall,RapidResponse,Easy,Name the ocean that lies to the south of India.,,,,,Indian Ocean,The Indian Ocean forms the southern maritime boundary of the Indian subcontinent.
S2-RR-013,Forge_Session2_Generated.csv,Geography,Quick Recall,RapidResponse,Easy,Name the desert located in the northwestern part of India.,,,,,Thar,"The Thar Desert, also known as the Great Indian Desert, forms a natural border in the northwest."
S2-RR-014,Forge_Session2_Generated.csv,Geography,Quick Recall,RapidResponse,Medium,Name the river on which Guwahati is situated.,,,,,Brahmaputra,A major river flowing through Assam.
S2-RR-015,Forge_Session2_Generated.csv,General Knowledge,Quick Recall,RapidResponse,Easy,Name India's national animal.,,,,,Tiger,The Bengal tiger is India's national animal.
S2-RR-016,Forge_Session2_Generated.csv,General Knowledge,Quick Recall,RapidResponse,Easy,Name India's national bird.,,,,,Peacock,The Indian peafowl is designated as the national bird.
S2-RR-017,Forge_Session2_Generated.csv,General Knowledge,Quick Recall,RapidResponse,Medium,Name the city where India's Constitution was drafted.,,,,,New Delhi,The Constituent Assembly met in New Delhi to draft the Constitution.
S2-RR-018,Forge_Session2_Generated.csv,Psychology,Quick Recall,RapidResponse,Medium,Name the psychological test where candidates write stories based on pictures.,,,,,TAT,"Thematic Apperception Test, part of SSB psychological assessment."
S2-RR-019,Forge_Session2_Generated.csv,Psychology,Quick Recall,RapidResponse,Medium,Name the test where candidates respond with the first word that comes to mind.,,,,,WAT,"Word Association Test, part of SSB psychological assessment."
S2-RR-020,Forge_Session2_Generated.csv,Officer Like Qualities,Quick Recall,RapidResponse,Medium,Name the OLQ that refers to the capability to withstand physical and mental strain.,,,,,Stamina,Stamina is the physical and mental capacity to endure prolonged exertion and pressure.
S2-RR-021,Forge_Session2_Generated.csv,Officer Like Qualities,Quick Recall,RapidResponse,Medium,Name the OLQ that refers to working effectively as part of a group.,,,,,Cooperation,Reflects a candidate's ability to contribute positively within a team.
S2-RR-022,Forge_Session2_Generated.csv,Logical Thinking,Quick Recall,RapidResponse,Easy,Complete the analogy: Bird is to Fly as Fish is to ________.,,,,,Swim,A direct parallel of natural movement associated with each animal.
S2-RR-023,Forge_Session2_Generated.csv,Logical Thinking,Quick Recall,RapidResponse,Medium,"What comes next: 1, 1, 2, 3, 5, 8, ?",,,,,13,"This is the Fibonacci sequence, where each term is the sum of the two before it."
S2-RR-024,Forge_Session2_Generated.csv,Basic Mathematics,Quick Recall,RapidResponse,Easy,What is 9 times 8?,,,,,72,A direct multiplication fact.
S2-RR-025,Forge_Session2_Generated.csv,Basic Mathematics,Quick Recall,RapidResponse,Easy,What is 100 minus 37?,,,,,63,A direct subtraction calculation.
S2-RR-026,Forge_Session2_Generated.csv,Observation,Quick Recall,RapidResponse,Easy,Name the shape with three sides.,,,,,Triangle,A polygon defined by exactly three sides and three angles.
S2-RR-027,Forge_Session2_Generated.csv,Observation,Quick Recall,RapidResponse,Easy,Name the secondary colour formed by mixing red and yellow.,,,,,Orange,Orange is a secondary colour formed by mixing primary colours red and yellow.
S2-RR-028,Forge_Session2_Generated.csv,Current Affairs,Quick Recall,RapidResponse,Medium,Name India's mission that placed a spacecraft in Mars orbit in 2014.,,,,,Mangalyaan,India became the first country to reach Mars orbit on its first attempt.
S2-RR-029,Forge_Session2_Generated.csv,Current Affairs,Quick Recall,RapidResponse,Medium,Name India's first satellite launched into space in 1975.,,,,,Aryabhata,"Aryabhata was India's first indigenous satellite, launched on 19 April 1975."
S2-RR-030,Forge_Session2_Generated.csv,Indian Armed Forces,Quick Recall,RapidResponse,Medium,Name the missile system jointly developed by India and Israel for medium-range air defence.,,,,,Barak-8,Provides extended air defence range for naval ships and land forces.
